player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Cesar Ruiz,59857,G,NO,1,100.0,0,20,52.5,61.1,45.4,0,2,62,100.0,100.0,98.4,0,2,0,90,0,0,0,90,67,67,90,0,23,0
David Edwards,35941,G,NO,1,100.0,0,20,59.6,67.0,53.4,1,1,62,100.0,100.0,98.4,0,2,0,90,0,90,0,90,67,67,0,0,23,0
Taliese Fuaga,131732,T,NO,1,100.0,0,20,41.2,34.3,45.1,0,5,62,100.0,100.0,94.4,0,6,1,90,0,0,0,90,67,67,0,90,23,0
Erik McCoy,37347,C,NO,1,100.0,0,20,61.7,67.8,57.5,2,2,62,100.0,100.0,96.8,0,4,0,90,90,0,0,90,67,67,0,0,23,0
Kelvin Banks Jr.,163839,T,NO,1,100.0,0,20,72.0,78.8,59.5,0,1,62,100.0,100.0,97.6,0,2,1,90,0,0,90,90,67,67,0,0,23,0
Evan Brown,38709,G,HST,1,100.0,0,13,64.5,74.5,60.1,0,0,42,100.0,100.0,100.0,0,0,0,79,79,0,0,79,48,48,0,0,31,0
Trent Brown,9677,T,HST,1,100.0,0,13,56.1,74.3,47.9,1,1,42,100.0,100.0,95.2,1,3,1,79,0,0,0,79,48,48,0,79,31,0
Aireontae Ersery,129649,T,HST,1,100.0,0,13,67.1,78.1,62.9,1,1,42,100.0,100.0,97.6,2,2,0,79,0,0,79,79,48,48,0,0,31,0
Ed Ingram,59819,G,HST,1,100.0,0,13,67.8,25.9,79.9,2,3,42,100.0,100.0,91.7,0,6,1,79,0,0,0,79,48,48,79,0,31,0
Keylan Rutledge,156597,C,HST,1,100.0,0,13,70.3,62.6,69.9,0,2,42,100.0,100.0,97.6,0,2,0,79,0,79,0,79,48,48,0,0,31,0
Tate Ratledge,124034,G,DET,1,100.0,0,11,63.9,76.9,57.9,0,0,41,100.0,100.0,100.0,1,0,0,77,0,0,0,77,41,41,77,0,36,0
Penei Sewell,81788,T,DET,1,100.0,0,11,67.5,51.8,79.1,0,1,41,100.0,100.0,98.8,1,1,0,77,0,0,71,77,41,41,0,2,36,4
Juice Scruggs,81800,G,DET,1,100.0,0,11,77.5,79.6,75.0,1,0,41,100.0,100.0,98.8,0,1,0,77,77,0,0,77,41,41,0,0,36,0
Blake Miller,156248,T,DET,1,100.0,0,11,74.7,78.4,69.3,0,1,41,100.0,100.0,98.8,0,1,0,77,0,0,2,77,41,41,0,74,36,1
Joe Thuney,10712,G,CHI,1,100.0,0,6,60.2,63.8,57.7,1,3,38,100.0,100.0,94.7,0,4,0,75,0,75,0,75,40,40,0,0,35,0
Hjalte Froholdt,44959,C,ARZ,1,100.0,0,1,56.5,42.1,59.5,0,1,39,100.0,100.0,98.7,1,1,0,75,75,0,0,75,42,42,0,0,33,0
Paris Johnson Jr.,129749,T,ARZ,1,100.0,0,1,74.9,81.7,82.0,1,0,39,100.0,100.0,98.7,2,1,0,75,0,0,75,75,42,42,0,0,33,0
Jon Gaines II,81879,G,ARZ,1,100.0,0,1,69.6,76.5,64.2,1,0,39,100.0,100.0,98.7,0,1,0,75,0,0,0,75,42,42,75,0,33,0
Elijah Wilkinson,46238,T,ARZ,1,100.0,0,1,50.3,65.6,44.9,1,0,39,100.0,100.0,98.7,1,1,0,75,0,0,0,75,42,42,0,75,33,0
Garrett Bradbury,46013,C,CHI,1,100.0,0,6,49.9,43.5,51.3,0,2,38,100.0,100.0,97.4,1,2,0,75,75,0,0,75,40,40,0,0,35,0
Darnell Wright,98480,T,CHI,1,100.0,0,6,84.0,69.5,88.5,0,2,38,100.0,100.0,97.4,0,2,0,75,0,0,0,75,40,40,0,75,35,0
Jonah Jackson,37070,G,CHI,1,100.0,0,6,85.7,88.7,79.1,0,0,38,100.0,100.0,100.0,0,0,0,75,0,0,0,75,40,40,75,0,35,0
Isaac Seumalo,10713,G,ARZ,1,100.0,0,1,51.4,38.6,55.5,1,1,39,100.0,100.0,97.4,0,2,0,72,0,72,0,72,42,42,0,0,30,0
Morgan Moses,8701,T,NE,1,100.0,0,19,71.4,82.3,68.1,0,0,42,100.0,100.0,100.0,1,0,0,71,0,0,0,71,44,44,0,71,27,0
Mike Onwenu,27357,G,NE,1,100.0,0,19,75.7,88.9,66.8,0,0,42,100.0,100.0,100.0,0,0,0,71,0,0,0,71,44,44,71,0,27,0
Will Campbell,157106,T,NE,1,100.0,0,19,70.7,84.4,55.7,0,1,42,100.0,100.0,96.4,2,2,1,71,0,0,71,71,44,44,0,0,27,0
Alijah Vera-Tucker,57107,G,NE,1,100.0,0,19,60.7,54.1,61.5,0,4,42,100.0,100.0,95.2,1,4,0,71,0,71,0,71,44,44,0,0,27,0
Jared Wilson,146717,G,NE,1,100.0,0,19,67.9,70.5,65.8,0,1,42,100.0,100.0,98.8,0,1,0,71,71,0,0,71,44,44,0,0,27,0
Chris Paul,77579,G,WAS,1,100.0,0,32,50.6,32.1,56.6,0,1,38,100.0,100.0,98.7,0,1,0,70,0,70,0,70,41,41,0,0,29,0
Nick Allegretti,39268,G,WAS,1,100.0,0,32,42.9,47.3,42.1,0,1,38,100.0,100.0,98.7,0,1,0,70,70,0,0,70,41,41,0,0,29,0
Brandon Coleman,123068,T,WAS,1,100.0,0,32,59.9,59.7,64.3,0,3,38,100.0,100.0,93.4,1,4,1,70,0,0,69,70,41,41,0,1,29,0
Sam Cosmi,60114,G,WAS,1,100.0,0,32,76.7,79.5,71.6,0,1,38,100.0,100.0,98.7,0,1,0,70,0,0,0,70,41,41,70,0,29,0
Jermaine Eluemunor,11914,T,NYG,1,100.0,0,21,68.4,83.4,65.1,0,0,34,100.0,100.0,100.0,1,0,0,69,0,1,1,69,34,34,0,67,35,0
Creed Humphrey,59996,C,KC,1,100.0,0,16,80.3,39.0,88.0,0,0,33,100.0,100.0,100.0,0,0,0,69,69,0,0,69,34,34,0,0,35,0
Kingsley Suamataia,146558,G,KC,1,100.0,0,16,46.3,69.1,42.0,1,0,33,100.0,100.0,98.5,0,1,0,69,0,69,0,69,34,34,0,0,35,0
Josh Conerly Jr.,163291,T,WAS,1,98.6,0,32,70.7,78.4,71.5,0,4,37,97.4,97.6,94.6,1,4,0,69,0,0,0,70,40,41,0,69,29,1
Francis Mauigoa,170088,T,NYG,1,100.0,0,21,46.9,56.7,44.5,0,0,34,100.0,100.0,100.0,0,0,0,69,0,1,1,69,34,34,67,0,35,0
John Michael Schmitz Jr.,55238,C,NYG,1,100.0,0,21,58.5,71.8,54.9,0,2,34,100.0,100.0,97.1,0,2,0,69,69,0,0,69,34,34,0,0,35,0
Trey Smith,62960,G,KC,1,100.0,0,16,80.6,69.0,78.8,0,0,33,100.0,100.0,100.0,1,0,0,69,0,0,0,69,34,34,69,0,35,0
Kahlil Benson,129434,T,KC,1,100.0,0,16,61.5,72.2,53.8,0,0,33,100.0,100.0,100.0,1,0,0,69,0,0,69,69,34,34,0,0,35,0
Jon Runyan,36661,G,NYG,1,100.0,0,21,43.8,64.5,46.1,2,1,34,100.0,100.0,95.6,2,3,0,69,0,67,0,69,34,34,2,0,35,0
Andrew Thomas,59701,T,NYG,1,100.0,0,21,73.0,51.3,80.6,0,2,34,100.0,100.0,97.1,0,2,0,69,0,0,66,69,34,34,0,2,35,1
Mason McCormick,78326,G,PIT,1,100.0,0,25,59.2,59.8,57.3,0,4,43,100.0,100.0,95.3,0,4,0,68,0,67,0,68,47,47,0,0,21,0
Rasheed Walker,81798,T,CAR,1,100.0,0,5,82.1,88.6,81.8,0,1,43,100.0,100.0,98.8,1,1,0,68,0,0,68,68,46,46,0,0,22,0
Jackson Powers-Johnson,146550,G,LV,1,100.0,0,23,51.9,75.9,45.8,0,2,31,100.0,100.0,96.8,0,2,0,68,0,0,0,68,32,32,68,0,36,0
Jacob Monk,98058,G,GB,1,100.0,0,12,54.9,48.2,56.1,2,1,46,100.0,100.0,94.6,0,4,1,68,0,0,0,68,46,46,68,0,22,0
Ronnie Stanley,10640,T,BLT,1,100.0,0,3,56.3,69.6,53.9,1,0,29,100.0,100.0,94.8,2,2,1,68,0,0,67,68,33,33,0,0,35,1
Dylan Cook,91689,T,PIT,1,100.0,0,25,73.5,71.3,83.6,0,2,43,100.0,100.0,95.3,1,3,1,68,0,0,1,68,47,47,0,66,21,0
Jordan Morgan,98652,T,GB,1,100.0,0,12,47.2,48.8,51.3,3,2,46,100.0,100.0,94.6,1,5,0,68,0,0,68,68,46,46,0,0,22,0
Spencer Burford,81920,G,LV,1,100.0,0,23,52.7,64.8,50.2,1,3,31,100.0,100.0,93.5,0,4,0,68,0,68,0,68,32,32,0,0,36,0
Roger Rosengarten,131912,T,BLT,1,100.0,0,3,69.2,61.1,70.7,0,2,29,100.0,100.0,96.6,0,2,0,68,0,0,0,68,33,33,0,68,35,0
Tyler Linderbaum,82291,C,LV,1,100.0,0,23,68.7,71.2,66.6,0,0,31,100.0,100.0,100.0,0,0,0,68,68,0,0,68,32,32,0,0,36,0
Sean Rhyan,72009,C,GB,1,100.0,0,12,57.3,32.8,64.8,1,1,46,100.0,100.0,95.7,1,3,1,68,68,0,0,68,46,46,0,0,22,0
Vega Ioane,164174,G,BLT,1,100.0,0,3,73.0,44.2,76.0,0,1,29,100.0,100.0,94.8,2,2,1,68,0,0,0,68,33,33,68,0,35,0
John Simpson,41715,G,BLT,1,100.0,1,3,67.8,47.1,70.0,0,1,29,100.0,100.0,98.3,1,1,0,68,0,68,0,68,33,33,0,0,35,0
Donovan Jennings,86861,G,GB,1,100.0,0,12,39.3,40.0,47.7,0,2,46,100.0,100.0,97.8,1,2,0,68,0,68,0,68,46,46,0,0,22,0
Jovaughn Gwyn,81839,G,BLT,1,100.0,0,3,66.4,0.0,88.2,0,2,29,100.0,100.0,96.6,1,2,0,68,68,0,0,68,33,33,0,0,35,0
DJ Glaze,129511,T,LV,1,100.0,0,23,70.9,70.7,68.5,0,0,31,100.0,100.0,100.0,0,0,0,68,0,0,0,68,32,32,0,68,36,0
Zach Bako-Bewele,55443,T,GB,1,100.0,0,12,59.9,58.7,57.6,1,1,46,100.0,100.0,95.7,0,3,1,68,0,0,0,68,46,46,0,68,22,0
Kolton Miller,47013,T,LV,1,100.0,0,23,83.1,85.4,78.8,0,0,31,100.0,100.0,100.0,0,0,0,68,0,0,68,68,32,32,0,0,36,0
Armand Membou,125008,T,NYJ,1,100.0,0,22,58.5,84.0,46.0,0,0,26,100.0,100.0,100.0,0,0,0,67,0,0,0,67,28,28,0,67,39,0
Spencer Anderson,81719,G,PIT,1,100.0,0,25,55.2,44.1,58.7,0,1,42,100.0,100.0,98.8,0,1,0,67,0,0,0,67,46,46,67,0,21,0
Dylan Parham,60953,G,NYJ,1,100.0,0,22,93.5,58.8,92.9,0,4,26,100.0,100.0,92.3,0,4,0,67,0,67,0,67,28,28,0,0,39,0
Josh Myers,59992,C,NYJ,1,100.0,0,22,68.2,63.7,67.4,0,2,26,100.0,100.0,96.2,1,2,0,67,67,0,0,67,28,28,0,0,39,0
Joe Tippmann,101568,G,NYJ,1,100.0,0,22,69.3,67.6,66.5,0,0,26,100.0,100.0,100.0,0,0,0,67,0,0,0,67,28,28,67,0,39,0
Zach Frazier,123419,C,PIT,1,100.0,0,25,62.7,76.9,55.8,0,1,42,100.0,100.0,98.8,0,1,0,67,67,0,0,67,46,46,0,0,21,0
Olumuyiwa Fashanu,129777,T,NYJ,1,100.0,0,22,68.1,76.3,68.5,0,2,26,100.0,100.0,96.2,1,2,0,67,0,0,67,67,28,28,0,0,39,0
Jaylon Moore,43678,T,KC,1,98.5,1,16,63.5,65.3,61.3,1,1,32,97.0,97.1,93.7,1,3,1,67,0,0,0,68,33,34,0,67,34,1
Ben Bartch,84236,G,DET,1,100.0,0,11,65.6,53.4,66.7,1,0,36,100.0,100.0,98.6,1,1,0,66,0,66,0,66,36,36,0,0,30,0
Damien Lewis,81532,G,CAR,1,100.0,0,5,82.3,80.7,78.7,1,0,42,100.0,100.0,98.8,0,1,0,66,0,66,0,66,45,45,0,0,21,0
Troy Fautanu,100521,T,PIT,1,100.0,0,25,44.4,47.1,37.4,1,2,41,100.0,100.0,96.3,0,3,0,66,0,0,66,66,45,45,0,0,21,0
Blake Brandel,46282,C,MIN,1,100.0,0,18,52.6,78.4,52.0,0,1,30,100.0,100.0,98.3,1,1,0,65,65,0,0,65,34,34,0,0,31,0
Will Fries,41530,G,MIN,1,100.0,0,18,48.1,30.0,52.9,1,1,30,100.0,100.0,93.3,0,3,1,65,0,0,0,65,34,34,65,0,31,0
Trent Williams,5529,T,SF,1,100.0,0,28,72.2,75.1,67.1,0,2,36,100.0,100.0,97.2,0,2,0,65,0,0,65,65,37,37,0,0,28,0
Dominick Puni,163815,G,SF,1,100.0,0,28,69.3,82.7,62.5,0,1,36,100.0,100.0,98.6,0,1,0,65,0,0,0,65,37,37,65,0,28,0
Christian Darrisaw,77373,T,MIN,1,100.0,0,18,68.6,65.2,67.3,0,1,30,100.0,100.0,95.0,0,2,1,65,0,0,65,65,34,34,0,0,31,0
Brian O'Neill,46854,T,MIN,1,100.0,0,18,59.4,56.9,66.9,0,2,30,100.0,100.0,96.7,1,2,0,65,0,0,0,65,34,34,0,65,31,0
Connor Colby,144862,G,SF,1,100.0,0,28,59.5,60.8,58.1,1,1,36,100.0,100.0,97.2,0,2,0,65,0,65,0,65,37,37,0,0,28,0
Donovan Jackson,145064,G,MIN,1,100.0,0,18,62.0,88.4,53.3,0,0,30,100.0,100.0,100.0,0,0,0,65,0,65,0,65,34,34,0,0,31,0
Jake Brendel,11117,C,SF,1,100.0,0,28,69.0,64.6,67.2,0,1,36,100.0,100.0,98.6,0,1,0,65,65,0,0,65,37,37,0,0,28,0
Colton McKivitz,29314,T,SF,1,100.0,0,28,75.1,65.6,77.8,0,1,36,100.0,100.0,98.6,0,1,0,65,0,0,0,65,37,37,0,65,28,0
Amarius Mims,146719,T,CIN,1,100.0,0,7,65.9,84.1,49.8,0,0,37,100.0,100.0,100.0,0,0,0,64,0,0,0,64,38,38,0,64,26,0
Dalton Risner,47008,G,CIN,1,100.0,0,7,59.1,83.9,49.5,0,0,37,100.0,100.0,100.0,0,0,0,64,0,0,0,64,38,38,64,0,26,0
Ted Karras,10855,C,CIN,1,100.0,0,7,59.4,60.9,58.1,0,1,37,100.0,100.0,98.6,0,1,0,64,64,0,0,64,38,38,0,0,26,0
Orlando Brown Jr.,46227,T,CIN,1,100.0,0,7,59.4,68.4,48.8,2,0,37,100.0,100.0,97.3,0,2,0,64,0,0,64,64,38,38,0,0,26,0
Dylan Fairchild,146716,G,CIN,1,100.0,0,7,52.7,28.9,61.0,0,3,37,100.0,100.0,95.9,0,3,0,64,0,64,0,64,38,38,0,0,26,0
Alaric Jackson,40972,T,LA,1,100.0,0,26,67.9,66.2,65.9,1,2,29,100.0,100.0,94.8,1,3,0,61,0,0,61,61,33,33,0,0,28,0
Monroe Freeling,173548,T,CAR,1,100.0,0,5,65.8,62.0,77.5,0,3,41,100.0,100.0,93.9,1,4,1,61,0,0,0,61,44,44,0,61,17,0
Coleman Shelton,39316,C,LA,1,100.0,0,26,83.2,57.7,88.2,1,0,29,100.0,100.0,98.3,0,1,0,61,61,0,0,61,33,33,0,0,28,0
Luke Fortner,42028,C,CAR,1,100.0,0,5,68.6,65.7,69.1,1,2,41,100.0,100.0,96.3,0,3,0,61,61,0,0,61,44,44,0,0,17,0
Robert Hunt,46139,G,CAR,1,100.0,0,5,54.3,78.4,50.3,0,1,41,100.0,100.0,98.8,1,1,0,61,0,0,0,61,44,44,61,0,17,0
Warren McClendon Jr.,99081,T,LA,1,100.0,0,26,62.6,60.3,61.7,2,0,29,100.0,100.0,96.6,1,2,0,61,0,0,0,61,33,33,0,61,28,0
Steve Avila,77319,G,LA,1,100.0,0,26,84.9,48.2,90.3,1,1,29,100.0,100.0,96.6,0,2,0,61,0,61,0,61,33,33,0,0,28,0
Ryan Neuzil,41123,C,ATL,1,100.0,0,2,51.2,59.6,49.8,0,0,26,100.0,100.0,100.0,0,0,0,60,60,0,0,60,28,28,0,0,32,0
Jake Matthews,8641,T,ATL,1,100.0,0,2,40.9,40.3,40.0,1,0,26,100.0,100.0,90.4,1,3,2,60,0,0,60,60,28,28,0,0,32,0
Jawaan Taylor,41665,T,ATL,1,100.0,1,2,43.3,67.6,29.7,0,2,26,100.0,100.0,96.2,1,2,0,60,0,0,0,60,28,28,0,60,32,0
Matthew Bergeron,99658,G,ATL,1,100.0,1,2,63.6,59.0,68.8,0,1,26,100.0,100.0,98.1,2,1,0,60,0,60,0,60,28,28,0,0,32,0
Kevin Dotson,46735,G,LA,1,100.0,0,26,65.4,26.7,84.2,2,3,29,100.0,100.0,91.4,1,5,0,59,0,0,0,59,33,33,59,0,26,0
Terence Steele,39461,T,DAL,1,100.0,0,9,50.1,45.2,62.7,0,1,36,100.0,100.0,98.6,1,1,0,58,0,0,0,58,41,41,0,58,17,0
Tyler Booker,157001,G,DAL,1,100.0,0,9,78.4,68.4,79.5,0,1,36,100.0,100.0,98.6,0,1,0,58,0,0,0,58,41,41,58,0,17,0
T.J. Bass,131703,G,DAL,1,100.0,0,9,54.4,53.2,54.1,0,3,36,100.0,100.0,95.8,0,3,0,58,0,58,0,58,41,41,0,0,17,0
Tyler Guyton,123076,T,DAL,1,100.0,0,9,68.7,49.2,84.8,0,2,36,100.0,100.0,97.2,0,2,0,58,0,0,58,58,41,41,0,0,17,0
Cooper Beebe,99434,C,DAL,1,100.0,0,9,68.6,74.1,66.0,0,0,36,100.0,100.0,100.0,0,0,0,58,58,0,0,58,41,41,0,0,17,0
Spencer Brown,42296,T,BUF,1,100.0,0,4,56.5,49.3,59.6,0,2,32,100.0,100.0,96.9,0,2,0,57,0,0,0,57,37,37,0,57,20,0
Cody Mauch,66637,G,TB,1,100.0,1,30,57.1,68.0,51.1,0,3,36,100.0,100.0,95.8,1,3,0,57,0,0,0,57,39,39,57,0,18,0
Tristan Wirfs,64818,T,TB,1,100.0,0,30,46.6,80.6,33.4,0,1,36,100.0,100.0,95.8,2,2,1,57,0,0,57,57,39,39,0,0,18,0
Alec Anderson,81882,G,BUF,1,100.0,0,4,52.4,44.2,54.9,1,1,32,100.0,100.0,93.7,1,3,1,57,0,57,0,57,37,37,0,0,20,0
Ben Bredeson,27305,G,TB,1,100.0,0,30,61.4,38.9,69.2,1,1,36,100.0,100.0,94.4,0,3,1,57,0,57,0,57,39,39,0,0,18,0
Dion Dawkins,11818,T,BUF,1,100.0,1,4,53.1,76.4,39.9,0,1,32,100.0,100.0,98.4,1,1,0,57,0,0,57,57,37,37,0,0,20,0
