player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Grady Jarrett,9570,DI,ATL,17,8,1.4,1,0,2,63.1,62.1,57.9,60.6,61.5,36.0,10.9,5,3,268,275,9.0,24,33
Bobby McCain,9578,S,MIN,1,2,,0,0,18,46.1,47.6,78.0,55.6,65.9,80.6,0.0,0,0,7,9,0.0,0,0
Quandre Diggs,9633,S,TEN,8,3,8.2,0,0,31,70.6,73.2,90.3,55.4,70.0,87.2,4.5,1,0,174,180,2.9,5,18
Rakeem Nunez-Roches,9650,DI,NYG,15,22,3.1,0,0,21,52.7,46.8,63.4,53.1,50.2,56.7,2.1,1,2,294,302,5.8,17,24
Neville Hewitt,9836,LB,HST,12,14,4.5,0,1,13,76.8,71.9,33.1,61.0,61.7,50.9,13.2,5,1,141,144,6.4,9,19
Troy Hill,9881,CB,TB,6,4,6.5,0,0,30,70.6,63.2,15.0,50.2,49.0,65.6,10.5,2,1,81,86,3.7,3,13
DeShawn Williams,9891,DI,CAR,12,1,3.1,0,0,5,62.1,47.9,85.5,53.8,41.3,43.9,13.3,2,0,107,112,9.3,10,12
Alex Singleton,9994,LB,DEN,3,8,4.8,0,0,10,53.5,62.9,81.1,54.3,73.5,44.2,15.4,4,0,80,81,12.5,10,14
T.Y. McGill,10156,DI,CLV,2,0,1.0,0,0,8,60.0,70.5,75.6,75.7,57.5,69.8,0.0,0,0,10,10,0.0,0,1
Efe Obada,10235,ED,WAS,6,1,2.7,0,0,32,,54.1,82.8,51.7,56.4,73.6,0.0,0,0,48,48,4.2,2,3
Joey Bosa,10637,ED,LAC,14,7,2.4,1,2,27,60.5,61.1,2.9,64.8,67.4,35.1,14.3,3,8,146,151,6.2,9,11
Jalen Ramsey,10639,CB,MIA,17,11,4.4,0,0,17,71.9,76.9,69.0,76.5,85.7,43.0,16.7,4,5,356,373,1.4,5,9
DeForest Buckner,10641,DI,IND,12,18,2.3,0,0,14,61.2,81.9,74.5,77.1,73.9,40.2,7.8,4,1,236,244,10.2,24,29
Leonard Floyd,10643,ED,SF,17,7,2.6,2,0,28,75.4,53.9,56.7,54.5,54.4,56.6,10.3,3,3,218,224,6.9,15,19
Eli Apple,10644,CB,LAC,3,0,,0,0,27,78.6,78.0,77.6,,60.3,75.4,,0,0,7,7,0.0,0,0
Sheldon Rankins,10646,DI,CIN,7,5,3.4,0,0,7,71.2,55.3,83.7,58.9,46.2,32.9,18.8,3,0,121,124,3.3,4,8
Shaq Lawson,10653,ED,CAR,1,0,,0,0,5,,57.0,73.1,59.3,57.2,,,0,0,7,7,0.0,0,0
Artie Burns,10659,CB,SEA,2,1,,0,0,29,89.6,88.6,76.1,73.3,59.5,59.7,0.0,0,0,11,11,0.0,0,0
Kenny Clark,10661,DI,GB,18,12,1.5,1,0,12,64.4,60.0,36.3,62.7,58.4,51.8,7.5,3,5,274,284,6.9,19,25
Emmanuel Ogbah,10666,ED,MIA,16,11,0.9,1,0,17,52.9,59.7,74.5,51.2,72.4,41.0,5.7,2,2,251,265,7.6,19,22
Chris Jones,10671,DI,KC,18,12,2.1,2,0,16,67.6,90.2,31.8,91.5,64.0,67.5,0.0,0,7,277,287,6.5,18,22
Austin Johnson,10677,DI,BUF,18,14,2.2,0,0,4,67.2,57.5,85.6,58.3,51.3,44.8,10.7,3,0,161,166,5.6,9,11
Jihad Ward,10678,DI,MIN,17,4,3.0,0,0,18,70.0,51.5,42.6,58.0,42.1,54.0,0.0,0,3,76,82,6.6,5,7
A'Shawn Robinson,10680,DI,CAR,16,20,4.1,0,1,5,67.2,54.6,56.7,57.1,54.1,59.7,5.7,4,3,379,393,5.8,22,46
Jarran Reed,10683,DI,SEA,17,12,2.8,0,0,29,61.3,70.6,87.8,73.7,58.2,72.8,2.6,1,0,241,260,7.5,18,25
Deion Jones,10686,LB,TB,1,0,4.0,0,0,30,71.1,74.0,70.8,,63.4,74.2,0.0,0,0,4,4,25.0,1,1
Vonn Bell,10695,S,CIN,16,12,5.5,0,1,7,62.1,62.1,84.4,58.6,59.4,57.4,17.1,6,0,269,272,2.2,6,17
Adam Gotsis,10697,ED,IND,5,3,2.0,0,0,14,63.4,64.4,20.7,52.9,70.5,46.9,14.3,1,1,33,34,9.1,3,3
Kevin Byard,10698,S,CHI,17,26,8.1,1,0,6,61.6,72.8,83.2,83.0,86.0,89.6,4.8,4,2,457,467,3.9,18,54
Maliek Collins,10701,DI,SF,17,2,2.9,0,0,28,66.7,57.9,56.7,70.0,42.8,28.7,13.0,3,4,271,279,4.1,11,18
Yannick Ngakoue,10703,ED,NE,11,5,2.8,0,0,19,61.8,52.1,64.1,46.7,70.2,57.8,10.0,1,1,49,50,6.1,3,4
Jonathan Bullard,10706,DI,MIN,18,13,1.9,0,0,18,62.5,55.1,52.1,47.1,63.6,67.7,5.0,2,3,290,302,6.6,19,25
Daryl Worley,10711,S,TEN,8,3,7.0,0,0,31,59.1,54.3,50.1,53.2,49.4,50.6,25.0,8,1,218,221,2.8,6,21
Kendall Fuller,10718,CB,MIA,11,5,3.7,1,0,17,62.4,66.2,85.6,72.1,75.1,73.2,6.7,1,1,202,211,2.0,4,9
Nick Vigil,10721,LB,DAL,7,1,2.2,0,0,9,68.8,48.3,82.3,43.6,31.1,45.2,25.0,2,0,49,51,8.2,4,5
Javon Hargrave,10723,DI,SF,3,1,3.3,0,0,28,60.4,60.6,79.4,73.3,44.7,45.1,0.0,0,0,41,41,4.9,2,3
Justin Simmons,10732,S,ATL,16,8,8.6,0,0,2,60.8,59.9,94.2,56.7,53.8,44.5,25.6,10,0,375,388,1.6,6,21
Sheldon Day,10737,DI,WAS,15,8,3.1,0,0,32,59.5,54.7,85.2,52.4,56.2,67.0,4.0,1,0,163,165,6.1,10,16
Eric Murray,10740,S,HST,19,7,7.2,2,0,13,64.8,63.8,26.2,50.9,67.2,51.7,12.8,5,5,348,354,3.4,12,27
Miles Killebrew,10745,S,PIT,7,1,5.0,0,0,25,60.0,75.5,73.2,,71.4,72.8,0.0,0,0,16,16,0.0,0,1
De'Vondre Campbell,10749,LB,SF,13,11,3.8,0,0,28,59.1,58.3,81.8,52.6,57.4,48.4,12.5,6,1,296,303,6.4,19,31
David Onyemata,10754,DI,ATL,17,10,2.6,0,0,2,60.0,66.2,86.9,61.3,64.5,61.8,2.5,1,0,240,249,8.3,20,29
Andrew Billings,10756,DI,CHI,8,1,1.8,0,1,6,59.7,62.5,64.4,78.6,50.0,51.8,12.5,1,1,147,151,3.4,5,6
Deon Bush,10758,S,KC,1,1,,0,0,16,67.3,69.5,70.2,,60.8,77.8,0.0,0,0,3,3,0.0,0,0
Dean Lowry,10771,DI,PIT,12,3,,0,0,25,60.0,34.3,81.8,67.4,28.0,29.0,25.0,1,0,85,87,0.0,0,0
Matthew Judon,10780,ED,ATL,17,5,3.5,0,0,2,31.1,43.0,30.6,53.9,53.6,48.3,7.7,2,5,232,240,3.9,9,19
Quinton Jefferson,10781,DI,BUF,11,4,2.3,0,0,4,59.9,50.3,83.7,54.3,47.6,41.2,16.7,2,1,81,83,6.2,5,6
DJ Reader,10800,DI,DET,16,7,1.4,0,0,11,63.3,66.5,75.6,64.5,62.6,59.6,5.0,1,1,216,224,5.1,11,12
Kamu Grugier-Hill,10842,LB,MIN,11,3,3.2,0,0,18,39.8,36.4,80.0,44.8,48.1,45.4,20.0,2,0,53,56,7.5,4,5
Elandon Roberts,10848,LB,PIT,18,9,2.6,0,1,25,49.6,79.7,81.9,66.7,91.0,55.2,10.2,5,0,283,291,8.5,24,35
Jalen Mills,10867,S,NYJ,9,11,4.8,0,1,22,61.6,64.6,83.1,52.3,68.4,46.4,25.0,7,1,194,202,3.6,7,10
Mike Hilton,10898,CB,CIN,16,6,2.2,0,0,7,68.4,75.8,32.7,58.0,91.7,77.1,5.4,2,2,258,260,8.1,21,29
Kyle Peko,11027,DI,DET,5,0,-2.0,0,0,11,,45.8,80.0,58.3,36.8,67.6,0.0,0,0,24,25,4.2,1,1
Michael Pierce,11101,DI,BLT,13,9,3.8,0,0,3,75.1,80.7,84.4,65.5,68.1,67.3,5.3,1,0,85,89,2.4,2,9
Morgan Fox,11184,DI,LAC,18,9,3.2,0,0,27,59.8,51.5,87.0,58.1,43.4,53.4,5.9,2,0,196,201,7.1,14,23
Jonathan Jones,11217,CB,NE,17,2,7.8,0,1,19,61.1,60.7,86.3,57.5,55.2,75.9,12.5,2,3,280,285,1.1,3,12
Roy Robertson-Harris,11341,DI,SEA,17,6,0.9,1,0,29,56.0,52.9,55.1,54.6,56.6,33.9,19.0,4,2,154,165,6.5,10,11
C.J. Ham,11347,FB,MIN,1,1,,0,0,18,,60.0,60.0,,60.0,70.9,0.0,0,0,1,1,0.0,0,0
Antonio Hamilton Sr.,11353,CB,ATL,1,0,0.0,0,0,2,37.2,29.6,79.0,52.9,28.5,27.3,50.0,1,0,13,14,7.7,1,1
Myles Garrett,11756,ED,CLV,17,6,1.2,1,0,8,65.2,92.3,45.1,92.8,78.4,73.8,7.1,2,6,319,328,5.6,18,20
Solomon Thomas,11758,DI,NYJ,16,7,1.4,1,1,22,58.6,45.6,26.8,61.2,41.5,29.9,12.5,3,5,187,195,5.3,10,14
Jamal Adams,11761,S,DET,5,1,7.7,0,0,11,35.5,43.0,76.2,50.2,62.5,36.6,20.0,1,0,23,24,4.3,1,3
Marshon Lattimore,11766,CB,WAS,12,5,12.9,1,0,32,58.0,56.8,59.4,55.3,52.8,61.9,11.8,2,8,255,264,0.4,1,10
Haason Reddick,11768,ED,NYJ,10,1,1.2,0,0,22,61.3,53.5,68.4,52.9,56.3,70.4,0.0,0,1,124,129,5.6,7,9
Derek Barnett,11769,ED,HST,18,3,3.3,0,0,13,60.0,74.2,60.2,67.0,73.9,56.9,10.0,2,2,168,172,6.5,11,15
Malik Hooker,11770,S,DAL,17,14,8.6,0,0,9,57.8,65.3,88.0,62.0,77.8,64.3,14.9,7,0,415,427,2.4,10,26
Marlon Humphrey,11771,CB,BLT,18,1,3.2,2,1,3,81.0,79.0,27.4,68.9,70.4,59.3,20.0,3,11,310,319,1.9,6,11
Jonathan Allen,11772,DI,WAS,11,2,3.4,0,0,32,67.2,56.0,51.7,68.5,42.2,50.2,10.0,2,3,166,171,6.6,11,16
Adoree' Jackson,11773,CB,NYG,11,1,11.4,1,1,21,64.5,69.0,85.4,,85.8,55.0,11.1,1,4,145,150,0.0,0,7
Charles Harris,11777,ED,PHI,12,6,3.1,0,0,24,29.3,54.1,87.6,58.9,58.7,28.9,10.5,2,0,198,205,4.5,9,11
Jabrill Peppers,11780,S,NE,6,6,6.1,0,1,19,81.7,82.3,83.4,46.3,74.7,76.7,4.3,1,0,145,149,3.4,5,16
Takk McKinley,11781,ED,NYJ,7,3,3.6,0,0,22,61.2,50.0,39.8,57.7,49.4,29.9,20.0,2,1,58,60,5.2,3,5
Tre'Davious White,11782,CB,BLT,12,2,8.6,2,0,3,54.8,53.6,44.0,58.7,52.6,67.7,22.2,2,7,163,169,1.2,2,5
T.J. Watt,11785,ED,PIT,18,11,1.7,1,2,25,70.0,91.7,86.3,90.1,90.3,47.3,18.0,9,2,361,370,6.6,24,30
Kevin King,11788,CB,ATL,4,0,10.0,0,0,2,79.3,81.7,90.1,58.8,70.9,40.7,0.0,0,0,7,8,0.0,0,1
Budda Baker,11791,S,ARZ,17,19,4.6,0,0,1,74.7,77.8,88.4,61.9,79.9,62.0,17.3,17,1,411,420,8.0,33,62
Marcus Maye,11794,S,LAC,12,8,7.8,0,0,27,69.2,72.9,83.2,57.4,73.1,57.1,10.3,3,0,153,157,3.3,5,18
Marcus Williams,11797,S,BLT,9,0,7.3,1,0,3,37.3,42.9,56.4,55.1,69.4,82.5,14.3,1,2,160,166,1.3,2,6
Tyus Bowser,11802,ED,MIA,9,2,2.0,0,0,17,57.0,53.0,59.5,51.6,57.0,65.6,25.0,1,1,106,111,0.9,1,1
DeMarcus Walker,11806,ED,CHI,17,13,2.4,1,0,6,67.0,64.7,73.2,61.3,62.3,35.8,13.6,6,2,302,310,6.6,20,25
Raekwon McMillan,11809,LB,TEN,8,8,4.3,0,0,31,59.0,38.8,82.2,50.6,29.6,54.4,10.0,3,0,135,139,7.4,10,19
Dalvin Tomlinson,11810,DI,CLV,16,8,1.4,0,0,8,60.9,67.4,76.1,64.8,64.2,28.9,24.1,7,1,280,286,3.9,11,14
Zach Cunningham,11812,LB,DEN,3,1,5.5,0,0,10,64.4,73.0,72.4,58.8,68.7,78.3,0.0,0,0,11,11,9.1,1,2
Tanoh Kpassagnon,11814,DI,NO,3,1,25.0,0,0,20,60.0,29.4,17.1,63.0,29.5,24.0,33.3,1,1,41,45,0.0,0,1
Chidobe Awuzie,11815,CB,TEN,8,3,5.9,0,1,31,58.4,64.4,84.0,,80.4,68.3,8.3,1,1,177,179,1.1,2,8
Larry Ogunjobi,11820,DI,PIT,16,16,2.1,0,0,25,60.0,48.3,74.5,58.5,41.6,44.0,9.5,4,1,221,227,6.8,15,22
Ahkello Witherspoon,11821,CB,LA,14,1,6.1,3,0,26,62.6,65.6,54.3,96.5,62.2,55.4,20.0,2,5,210,215,0.5,1,7
Dawuane Smoot,11823,ED,BUF,14,3,-0.4,0,1,4,71.4,56.3,38.3,60.4,53.1,25.1,47.4,9,3,128,133,5.5,7,7
Chris Wormley,11829,DI,BLT,2,1,4.0,0,0,3,,68.5,76.7,56.7,70.2,71.3,0.0,0,0,18,18,11.1,2,3
Duke Riley,11830,LB,MIA,9,1,10.0,0,0,17,48.6,42.9,74.0,49.6,50.7,51.0,0.0,0,0,11,12,0.0,0,1
Alex Anzalone,11831,LB,DET,11,9,5.0,0,0,11,72.1,66.9,60.4,58.2,58.1,70.9,10.3,4,2,214,220,6.1,13,26
Fabian Moreau,11836,CB,MIN,4,0,5.5,0,0,18,60.5,63.2,82.5,,77.3,80.4,0.0,0,2,20,21,5.0,1,2
Shaquill Griffin,11845,CB,MIN,18,2,4.0,1,0,18,61.6,63.7,86.5,,71.7,82.1,0.0,0,2,142,146,1.4,2,4
Jourdan Lewis,11846,CB,DAL,16,10,9.3,1,0,9,79.0,71.7,86.4,54.9,45.0,61.4,13.8,4,4,311,323,1.3,4,15
John Johnson III,11847,S,LA,2,2,16.0,0,0,26,90.4,91.9,80.9,,68.8,62.5,0.0,0,0,21,21,0.0,0,1
Montravius Adams,11848,DI,PIT,12,4,5.3,0,0,25,78.1,44.2,83.0,61.0,29.8,47.1,7.7,1,0,85,86,4.7,4,8
Cameron Sutton,11850,CB,PIT,9,2,6.3,1,0,25,45.0,49.5,82.5,65.0,65.9,47.2,16.7,1,1,70,70,1.4,1,3
Rasul Douglas,11854,CB,BUF,18,8,3.6,4,1,4,51.6,53.9,69.2,52.3,63.2,68.6,6.7,2,10,384,398,3.4,13,20
Trey Hendrickson,11858,ED,CIN,17,6,1.8,0,1,7,59.5,88.1,56.0,90.4,65.9,43.9,15.4,4,4,271,273,4.4,12,16
Eddie Jackson,11867,S,LAC,11,2,6.0,0,0,27,50.1,52.0,32.9,55.4,69.4,61.5,18.2,2,1,95,99,2.1,2,7
Rayshawn Jenkins,11868,S,SEA,13,5,6.0,1,0,29,58.0,52.5,82.0,51.4,42.8,44.4,23.8,5,1,201,210,2.5,5,11
Carl Lawson,11871,ED,DAL,13,2,2.6,3,0,9,59.5,59.7,20.5,64.8,58.8,56.6,0.0,0,5,96,97,6.3,6,7
Jalen Reeves-Maybin,11879,LB,DET,10,0,10.5,0,0,11,67.4,57.5,5.1,48.4,46.4,42.7,50.0,2,1,33,33,3.0,1,2
Deatrich Wise Jr.,11886,ED,NE,15,7,2.7,0,0,19,63.3,59.7,39.9,63.6,54.8,59.2,10.0,2,3,138,140,4.3,6,11
Carlos Watkins,11897,DI,DAL,16,5,1.4,0,0,9,62.6,60.2,83.8,50.9,63.0,58.1,0.0,0,0,106,110,2.8,3,5
Grover Stewart,11899,DI,IND,17,24,1.3,0,0,14,60.8,76.9,66.8,63.4,78.7,52.9,4.7,3,2,344,354,9.3,32,37
Damontae Kazee,11904,S,PIT,15,2,12.9,0,0,25,56.4,60.8,82.5,,73.6,82.4,12.5,2,0,99,101,2.0,2,12
Desmond King II,11906,CB,BLT,2,0,,0,0,3,54.0,53.8,72.7,60.0,60.0,78.9,,0,1,2,2,0.0,0,0
Anthony Walker Jr.,11916,LB,MIA,11,7,4.5,0,0,17,39.1,48.0,83.8,44.2,69.5,59.1,7.7,2,0,178,187,5.6,10,17
Matt Milano,11918,LB,BUF,7,7,1.8,0,0,4,45.1,53.3,32.0,76.9,59.6,29.7,20.0,5,1,154,156,7.1,11,13
Davon Godchaux,11934,DI,NE,17,17,2.9,0,0,19,71.5,51.6,88.1,55.8,48.0,68.9,3.0,2,0,376,381,9.3,35,47
Chuck Clark,11941,S,NYJ,12,13,7.4,1,1,22,45.1,50.8,4.5,60.0,70.5,63.9,12.5,5,4,297,310,1.0,3,22
Xavier Woods,11946,S,CAR,17,20,8.6,0,0,5,55.4,57.0,69.1,53.5,59.7,72.3,16.2,11,4,555,576,1.8,10,37
Al-Quadin Muhammad,11951,ED,DET,10,2,1.8,0,0,11,80.7,60.7,50.4,59.8,54.7,55.3,11.1,1,2,93,95,4.3,4,6
D.J. Jones,11953,DI,DEN,18,9,1.9,0,0,10,49.3,67.3,74.7,70.6,64.6,40.5,8.3,4,1,231,235,11.3,26,35
Jeremiah Ledbetter,11960,DI,JAX,15,6,1.9,0,0,15,66.8,63.0,86.2,49.5,66.2,64.5,2.9,1,0,210,223,8.1,17,27
David Moore,11981,WR,CAR,1,0,,0,0,5,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Patrick O'Connor,12005,DI,DET,12,7,0.4,0,0,11,59.5,43.5,13.2,55.3,47.9,28.2,14.3,2,3,95,100,4.2,4,5
Michael Davis,12040,CB,WAS,8,3,3.0,0,0,32,40.8,43.3,79.4,,55.2,28.3,33.3,2,2,56,57,0.0,0,1
Josh Tupou,12093,DI,BLT,3,3,3.0,0,0,3,,52.1,78.7,50.6,55.9,71.5,0.0,0,0,26,28,7.7,2,2
Taysom Hill,12112,TE,NO,1,0,,0,1,20,,62.1,60.0,,60.0,,,0,0,1,1,0.0,0,0
Alex Barrett,12183,ED,SF,3,0,2.0,0,0,28,,56.5,88.4,51.1,62.2,69.2,0.0,0,0,10,10,10.0,1,1
Adam Butler,12214,DI,LV,17,14,2.0,1,0,23,70.5,56.9,60.8,60.1,48.3,33.1,16.4,9,3,294,305,7.1,21,32
Arthur Maulet,12224,CB,BLT,3,0,7.0,0,0,3,50.1,45.8,77.0,51.5,40.6,45.0,66.7,2,0,19,19,0.0,0,1
