year,week,player,pos,pred,actual,error,abs_error
2023,9,Tank Dell,WR,8.3,59.20000076293945,-50.900000762939456,50.900000762939456
2023,11,Tank Dell,WR,11.2,57.79999923706055,-46.599999237060544,46.599999237060544
2023,4,De'Von Achane,RB,9.3,54.0,-44.7,44.7
2023,13,De'Von Achane,RB,7.0,50.599998474121094,-43.599998474121094,43.599998474121094
2023,5,Ja'Marr Chase,WR,14.6,52.20000076293945,-37.60000076293945,37.60000076293945
2023,16,Amari Cooper,WR,14.6,51.5,-36.9,36.9
2023,5,DJ Moore,WR,12.7,49.0,-36.3,36.3
2024,10,Ja'Marr Chase,WR,19.2,55.400001525878906,-36.2000015258789,36.2000015258789
2024,14,Zach Charbonnet,RB,5.9,38.29999923706055,-32.39999923706055,32.39999923706055
2025,9,Brock Bowers,TE,11.3,43.29999923706055,-31.999999237060546,31.999999237060546
2025,16,Puka Nacua,WR,15.4,46.5,-31.1,31.1
2024,14,Puka Nacua,WR,11.4,41.79999923706055,-30.39999923706055,30.39999923706055
2025,10,Jonathan Taylor,RB,19.35,49.599998474121094,-30.249998474121092,30.249998474121092
2023,10,Tank Dell,WR,7.6,37.79999923706055,-30.199999237060545,30.199999237060545
2024,15,Davante Adams,WR,12.6,42.79999923706055,-30.199999237060545,30.199999237060545
2025,12,Jahmyr Gibbs,RB,25.38,55.400001525878906,-30.020001525878907,30.020001525878907
2023,16,Breece Hall,RB,13.2,43.099998474121094,-29.899998474121094,29.899998474121094
2023,10,Keenan Allen,WR,10.8,40.5,-29.7,29.7
2023,5,De'Von Achane,RB,13.3,43.0,-29.7,29.7
2024,13,Jerry Jeudy,WR,12.0,40.5,-28.5,28.5
2025,15,Trevor Lawrence,QB,16.06,44.29999923706055,-28.239999237060548,28.239999237060548
2025,15,Amon-Ra St. Brown,WR,13.2,41.400001525878906,-28.200001525878907,28.200001525878907
2025,14,Michael Wilson,WR,9.0,37.20000076293945,-28.200000762939453,28.200000762939453
2023,8,CeeDee Lamb,WR,13.0,41.0,-28.0,28.0
2025,17,Derrick Henry,RB,17.68,45.599998474121094,-27.919998474121094,27.919998474121094
2023,13,DK Metcalf,WR,9.8,37.400001525878906,-27.600001525878906,27.600001525878906
2024,8,CeeDee Lamb,WR,12.0,39.599998474121094,-27.599998474121094,27.599998474121094
2023,16,George Pickens,WR,8.2,35.5,-27.3,27.3
2025,16,Chris Olave,WR,9.6,36.79999923706055,-27.199999237060545,27.199999237060545
2024,16,Jonathan Taylor,RB,13.1,39.79999923706055,-26.699999237060545,26.699999237060545
2023,8,DeAndre Hopkins,WR,8.1,34.79999923706055,-26.699999237060545,26.699999237060545
2024,17,Malik Nabers,WR,9.7,36.099998474121094,-26.399998474121094,26.399998474121094
2025,7,Christian McCaffrey,RB,13.3,39.099998474121094,-25.799998474121093,25.799998474121093
2025,15,Trey McBride,TE,11.7,37.400001525878906,-25.700001525878907,25.700001525878907
2023,4,A.J. Brown,WR,12.8,38.5,-25.7,25.7
2024,14,Jordan Addison,WR,13.7,39.29999923706055,-25.599999237060548,25.599999237060548
2023,17,Davante Adams,WR,12.0,37.599998474121094,-25.599998474121094,25.599998474121094
2023,4,Christian McCaffrey,RB,23.25,48.70000076293945,-25.450000762939453,25.450000762939453
2024,5,Ja'Marr Chase,WR,15.9,41.29999923706055,-25.39999923706055,25.39999923706055
2023,14,Evan Engram,TE,7.2,32.5,-25.3,25.3
2024,15,Mike Evans,WR,11.7,36.900001525878906,-25.200001525878907,25.200001525878907
2024,17,Tee Higgins,WR,14.9,40.099998474121094,-25.199998474121095,25.199998474121095
2023,15,James Cook,RB,10.9,36.099998474121094,-25.199998474121095,25.199998474121095
2025,17,Bijan Robinson,RB,15.17,39.900001525878906,-24.730001525878905,24.730001525878905
2024,9,Jaxon Smith-Njigba,WR,12.4,37.0,-24.6,24.6
2023,5,Travis Etienne,RB,11.9,36.400001525878906,-24.500001525878908,24.500001525878908
2023,9,C.J. Stroud,QB,17.39,41.79999923706055,-24.409999237060546,24.409999237060546
2025,7,Bo Nix,QB,15.55,39.959999084472656,-24.409999084472656,24.409999084472656
2023,4,Nico Collins,WR,11.4,35.79999923706055,-24.39999923706055,24.39999923706055
2023,13,Deebo Samuel Sr.,WR,11.5,35.79999923706055,-24.299999237060547,24.299999237060547
2025,8,Tucker Kraft,TE,9.0,33.29999923706055,-24.299999237060547,24.299999237060547
2025,9,Drake London,WR,14.6,38.79999923706055,-24.199999237060545,24.199999237060545
2025,11,Tetairoa McMillan,WR,8.9,33.0,-24.1,24.1
2025,7,DeVonta Smith,WR,9.2,33.29999923706055,-24.099999237060548,24.099999237060548
2024,14,Ja'Marr Chase,WR,21.0,45.099998474121094,-24.099998474121094,24.099998474121094
2025,10,De'Von Achane,RB,16.47,40.5,-24.03,24.03
2024,12,Saquon Barkley,RB,22.23,46.20000076293945,-23.970000762939453,23.970000762939453
2023,10,CeeDee Lamb,WR,15.6,39.5,-23.9,23.9
2023,12,Kyren Williams,RB,14.8,38.400001525878906,-23.600001525878906,23.600001525878906
2025,11,TreVeyon Henderson,RB,8.7,32.29999923706055,-23.599999237060548,23.599999237060548
2024,15,Amon-Ra St. Brown,WR,13.7,37.29999923706055,-23.599999237060548,23.599999237060548
2023,13,Nico Collins,WR,10.5,34.099998474121094,-23.599998474121094,23.599998474121094
2023,12,Tank Dell,WR,10.9,34.400001525878906,-23.500001525878908,23.500001525878908
2025,11,Josh Allen,QB,19.3,42.68000030517578,-23.38000030517578,23.38000030517578
2025,12,Wan'Dale Robinson,WR,7.4,30.600000381469727,-23.200000381469728,23.200000381469728
2025,9,Tee Higgins,WR,9.9,33.099998474121094,-23.199998474121095,23.199998474121095
2025,13,A.J. Brown,WR,12.1,35.20000076293945,-23.10000076293945,23.10000076293945
2023,13,Ja'Marr Chase,WR,8.6,31.6200008392334,-23.020000839233397,23.020000839233397
2023,16,Puka Nacua,WR,10.0,33.0,-23.0,23.0
2025,9,Caleb Williams,QB,15.77,38.70000076293945,-22.930000762939454,22.930000762939454
2023,7,D'Onta Foreman,RB,10.3,33.0,-22.7,22.7
2024,11,Brock Bowers,TE,8.6,31.299999237060547,-22.699999237060545,22.699999237060545
2025,16,Ashton Jeanty,RB,9.1,31.799999237060547,-22.699999237060545,22.699999237060545
2024,4,De'Von Achane,RB,28.54,5.900000095367432,22.639999904632568,22.639999904632568
2024,11,Amon-Ra St. Brown,WR,16.1,38.70000076293945,-22.60000076293945,22.60000076293945
2023,10,Dak Prescott,QB,15.3,37.86000061035156,-22.560000610351562,22.560000610351562
2024,12,Jordan Addison,WR,8.2,30.200000762939453,-22.000000762939454,22.000000762939454
2024,11,Jonnu Smith,TE,6.1,28.100000381469727,-22.000000381469725,22.000000381469725
2023,13,Sam LaPorta,TE,7.0,29.0,-22.0,22.0
2025,14,Puka Nacua,WR,13.8,35.70000076293945,-21.900000762939452,21.900000762939452
2024,6,Chris Godwin Jr.,WR,13.6,35.5,-21.9,21.9
2025,4,Puka Nacua,WR,14.1,36.0,-21.9,21.9
2025,4,George Pickens,WR,11.9,33.400001525878906,-21.500001525878908,21.500001525878908
2023,11,Calvin Ridley,WR,9.6,31.100000381469727,-21.500000381469725,21.500000381469725
2023,17,DJ Moore,WR,9.4,30.899999618530273,-21.499999618530275,21.499999618530275
2025,8,Breece Hall,RB,11.4,32.86000061035156,-21.460000610351564,21.460000610351564
2024,16,Justin Jefferson,WR,15.0,36.400001525878906,-21.400001525878906,21.400001525878906
2025,12,Jaxon Smith-Njigba,WR,15.7,37.099998474121094,-21.399998474121094,21.399998474121094
2024,12,Jaylen Waddle,WR,7.2,28.399999618530273,-21.199999618530274,21.199999618530274
2025,6,George Pickens,WR,10.6,31.799999237060547,-21.199999237060545,21.199999237060545
2025,7,Jahmyr Gibbs,RB,15.64,36.79999923706055,-21.159999237060546,21.159999237060546
2023,7,Jahmyr Gibbs,RB,6.5,27.600000381469727,-21.100000381469727,21.100000381469727
2024,8,Cade Otton,TE,8.1,29.100000381469727,-21.000000381469725,21.000000381469725
2025,5,Emeka Egbuka,WR,10.3,31.299999237060547,-20.999999237060546,20.999999237060546
2025,6,Rico Dowdle,RB,13.0,33.900001525878906,-20.900001525878906,20.900001525878906
2025,17,Luther Burden III,WR,6.9,27.799999237060547,-20.89999923706055,20.89999923706055
2024,17,De'Von Achane,RB,26.68,5.800000190734863,20.879999809265136,20.879999809265136
2023,14,Deebo Samuel Sr.,WR,13.2,34.0,-20.8,20.8
2025,6,Drake London,WR,11.0,31.799999237060547,-20.799999237060547,20.799999237060547
2023,4,David Montgomery,RB,13.3,34.099998474121094,-20.799998474121093,20.799998474121093
2023,5,George Kittle,TE,7.0,27.700000762939453,-20.700000762939453,20.700000762939453
2023,4,Stefon Diggs,WR,15.3,36.0,-20.7,20.7
2023,7,Travis Kelce,TE,15.3,35.900001525878906,-20.600001525878906,20.600001525878906
2023,17,CeeDee Lamb,WR,19.6,40.20000076293945,-20.60000076293945,20.60000076293945
2023,6,Raheem Mostert,RB,13.6,34.20000076293945,-20.60000076293945,20.60000076293945
2023,4,Chris Olave,WR,22.0,1.399999976158142,20.600000023841858,20.600000023841858
2025,4,Ashton Jeanty,RB,12.9,33.5,-20.6,20.6
2023,11,A.J. Brown,WR,22.3,1.7999999523162842,20.500000047683717,20.500000047683717
2025,6,Bijan Robinson,RB,15.36,35.79999923706055,-20.439999237060547,20.439999237060547
2024,5,Darnell Mooney,WR,11.1,31.5,-20.4,20.4
2024,5,Garrett Wilson,WR,8.8,29.100000381469727,-20.300000381469726,20.300000381469726
2025,16,Chase Brown,RB,12.7,32.900001525878906,-20.200001525878907,20.200001525878907
2025,5,Jacory Croskey-Merritt,RB,6.8,27.0,-20.2,20.2
2025,7,A.J. Brown,WR,8.1,28.100000381469727,-20.000000381469725,20.000000381469725
2024,15,DeVonta Smith,WR,8.0,28.0,-20.0,20.0
2025,6,Puka Nacua,WR,24.8,4.800000190734863,19.999999809265137,19.999999809265137
2023,5,Justin Jefferson,WR,25.8,5.800000190734863,19.999999809265137,19.999999809265137
2025,7,Keenan Allen,WR,8.9,28.899999618530273,-19.999999618530275,19.999999618530275
2025,14,Tony Pollard,RB,8.4,28.100000381469727,-19.700000381469728,19.700000381469728
2025,7,Ja'Marr Chase,WR,18.4,38.099998474121094,-19.699998474121095,19.699998474121095
2025,11,Justin Herbert,QB,22.98,3.3399999141693115,19.64000008583069,19.64000008583069
2023,11,Saquon Barkley,RB,10.4,30.0,-19.6,19.6
2025,17,Brock Purdy,QB,17.39,36.91999816894531,-19.529998168945312,19.529998168945312
2024,14,Jauan Jennings,WR,8.5,28.0,-19.5,19.5
2023,5,AJ Dillon,RB,7.8,27.200000762939453,-19.400000762939452,19.400000762939452
2023,9,Dalton Schultz,TE,7.6,27.0,-19.4,19.4
2024,12,Courtland Sutton,WR,10.5,29.700000762939453,-19.200000762939453,19.200000762939453
2024,4,Jayden Reed,WR,7.9,27.100000381469727,-19.200000381469728,19.200000381469728
2023,17,Jayden Reed,WR,7.7,26.899999618530273,-19.199999618530274,19.199999618530274
2023,5,Zack Moss,RB,14.34,33.5,-19.16,19.16
2025,8,Troy Franklin,WR,7.8,26.899999618530273,-19.099999618530273,19.099999618530273
2025,14,Daniel Jones,QB,19.89,0.800000011920929,19.08999998807907,19.08999998807907
2024,10,De'Von Achane,RB,29.28,10.199999809265137,19.080000190734864,19.080000190734864
2025,6,Cam Skattebo,RB,12.0,31.0,-19.0,19.0
2024,17,Ladd McConkey,WR,10.4,29.399999618530273,-18.999999618530275,18.999999618530275
2025,11,Christian McCaffrey,RB,16.1,35.099998474121094,-18.999998474121092,18.999998474121092
2025,12,Jameis Winston,QB,13.3,32.2400016784668,-18.940001678466796,18.940001678466796
2024,14,Tyreek Hill,WR,9.2,28.100000381469727,-18.900000381469727,18.900000381469727
2023,15,Jordan Addison,WR,10.2,29.100000381469727,-18.900000381469727,18.900000381469727
2024,9,Chase Brown,RB,7.9,26.700000762939453,-18.800000762939455,18.800000762939455
2023,10,T.J. Hockenson,TE,11.6,30.399999618530273,-18.799999618530272,18.799999618530272
2023,5,Tyreek Hill,WR,13.3,32.099998474121094,-18.799998474121093,18.799998474121093
2024,15,Jameis Winston,QB,18.42,-0.36000001430511475,18.780000014305116,18.780000014305116
2025,14,Shedeur Sanders,QB,14.7,33.459999084472656,-18.759999084472657,18.759999084472657
2024,11,Joe Mixon,RB,16.57,35.29999923706055,-18.729999237060547,18.729999237060547
2024,9,Garrett Wilson,WR,11.3,30.0,-18.7,18.7
2023,7,Jordan Addison,WR,12.6,31.299999237060547,-18.699999237060545,18.699999237060545
2024,5,Drake London,WR,14.8,33.400001525878906,-18.600001525878906,18.600001525878906
2025,6,Kayshon Boutte,WR,7.7,26.299999237060547,-18.599999237060548,18.599999237060548
2025,4,Romeo Doubs,WR,11.2,29.799999237060547,-18.599999237060548,18.599999237060548
2024,11,Jared Goff,QB,16.06,34.58000183105469,-18.52000183105469,18.52000183105469
2024,16,Brian Thomas Jr.,WR,9.7,28.200000762939453,-18.500000762939454,18.500000762939454
2024,17,DeVonta Smith,WR,11.5,30.0,-18.5,18.5
2023,13,Geno Smith,QB,11.5,29.959999084472656,-18.459999084472656,18.459999084472656
2024,9,Zay Flowers,WR,11.3,29.700000762939453,-18.400000762939452,18.400000762939452
2024,4,Nico Collins,WR,14.7,33.099998474121094,-18.399998474121094,18.399998474121094
2024,5,Kirk Cousins,QB,15.99,34.36000061035156,-18.37000061035156,18.37000061035156
2024,16,Chuba Hubbard,RB,14.15,32.5,-18.35,18.35
2024,5,De'Von Achane,RB,21.02,2.700000047683716,18.319999952316284,18.319999952316284
2024,4,Derrick Henry,RB,17.59,35.900001525878906,-18.310001525878906,18.310001525878906
2024,13,Brock Bowers,TE,11.9,30.200000762939453,-18.300000762939455,18.300000762939455
2025,15,TreVeyon Henderson,RB,11.8,30.100000381469727,-18.300000381469726,18.300000381469726
2024,4,D'Andre Swift,RB,11.2,29.5,-18.3,18.3
2023,4,Mark Andrews,TE,6.7,25.0,-18.3,18.3
2025,5,Jaxon Smith-Njigba,WR,9.0,27.200000762939453,-18.200000762939453,18.200000762939453
2023,13,Christian Watson,WR,9.4,27.600000381469727,-18.200000381469728,18.200000381469728
2024,8,Ladd McConkey,WR,10.9,29.100000381469727,-18.200000381469728,18.200000381469728
2023,8,Gus Edwards,RB,11.2,29.399999618530273,-18.199999618530274,18.199999618530274
2023,4,Cole Kmet,TE,9.5,27.600000381469727,-18.100000381469727,18.100000381469727
2025,15,Travis Etienne,RB,13.4,31.5,-18.1,18.1
2024,8,Travis Kelce,TE,6.9,25.0,-18.1,18.1
2025,7,Trey McBride,TE,11.3,29.399999618530273,-18.099999618530273,18.099999618530273
2024,8,Jalen Hurts,QB,17.09,35.13999938964844,-18.049999389648438,18.049999389648438
2023,4,Josh Allen,QB,18.49,36.5,-18.01,18.01
2023,14,Drake London,WR,11.2,29.200000762939453,-18.000000762939454,18.000000762939454
2025,16,Christian McCaffrey,RB,14.62,32.599998474121094,-17.979998474121096,17.979998474121096
2024,7,Jahmyr Gibbs,RB,14.06,32.0,-17.939999999999998,17.939999999999998
2024,5,Joe Burrow,QB,15.84,33.779998779296875,-17.939998779296875,17.939998779296875
2025,10,Jahmyr Gibbs,RB,20.28,38.20000076293945,-17.920000762939452,17.920000762939452
2023,10,Amon-Ra St. Brown,WR,12.6,30.5,-17.9,17.9
2024,5,Tee Higgins,WR,11.4,29.299999237060547,-17.89999923706055,17.89999923706055
2024,7,Rachaad White,RB,11.3,29.100000381469727,-17.800000381469726,17.800000381469726
2024,15,Josh Allen,QB,23.49,41.279998779296875,-17.789998779296877,17.789998779296877
2025,14,Josh Allen,QB,20.11,37.84000015258789,-17.73000015258789,17.73000015258789
2025,14,Marcus Mariota,QB,15.62,-2.0999999046325684,17.719999904632566,17.719999904632566
2024,6,Joe Mixon,RB,9.5,27.200000762939453,-17.700000762939453,17.700000762939453
2024,17,Zach Ertz,TE,7.5,25.200000762939453,-17.700000762939453,17.700000762939453
2023,5,Dallas Goedert,TE,8.0,25.700000762939453,-17.700000762939453,17.700000762939453
2025,6,Dallas Goedert,TE,8.3,26.0,-17.7,17.7
2023,9,Cade Otton,TE,7.3,25.0,-17.7,17.7
2023,8,Jahmyr Gibbs,RB,12.2,29.899999618530273,-17.699999618530274,17.699999618530274
2023,5,Adam Thielen,WR,10.1,27.700000762939453,-17.60000076293945,17.60000076293945
2023,10,Noah Brown,WR,6.6,24.200000762939453,-17.60000076293945,17.60000076293945
2023,14,David Njoku,TE,9.5,27.100000381469727,-17.600000381469727,17.600000381469727
2023,7,Cooper Kupp,WR,24.5,6.900000095367432,17.59999990463257,17.59999990463257
2025,14,Harold Fannin Jr.,TE,7.8,25.399999618530273,-17.599999618530273,17.599999618530273
2023,17,Lamar Jackson,QB,18.86,36.34000015258789,-17.48000015258789,17.48000015258789
2023,12,Josh Allen,QB,22.24,39.65999984741211,-17.41999984741211,17.41999984741211
2025,16,Jaylen Warren,RB,11.7,29.100000381469727,-17.400000381469727,17.400000381469727
2024,4,Kenneth Walker III,RB,16.2,33.599998474121094,-17.399998474121094,17.399998474121094
2023,13,Joe Mixon,RB,12.4,29.700000762939453,-17.300000762939455,17.300000762939455
2023,7,Josh Downs,WR,6.2,23.5,-17.3,17.3
2025,10,Emeka Egbuka,WR,6.2,23.5,-17.3,17.3
2025,5,Ja'Marr Chase,WR,11.7,29.0,-17.3,17.3
2025,13,Amon-Ra St. Brown,WR,17.3,0.0,17.3,17.3
2023,11,Austin Ekeler,RB,24.27,7.0,17.27,17.27
2024,12,Bucky Irving,RB,10.0,27.200000762939453,-17.200000762939453,17.200000762939453
2023,15,Sam LaPorta,TE,11.4,28.600000381469727,-17.200000381469728,17.200000381469728
2025,15,James Cook,RB,13.97,31.100000381469727,-17.130000381469728,17.130000381469728
2024,16,Jameson Williams,WR,8.9,26.0,-17.1,17.1
2023,5,Justin Fields,QB,15.91,32.97999954223633,-17.069999542236328,17.069999542236328
2024,16,Jayden Daniels,QB,17.39,34.41999816894531,-17.029998168945312,17.029998168945312
2023,15,Chris Godwin Jr.,WR,8.5,25.5,-17.0,17.0
2024,13,Terry McLaurin,WR,10.3,27.299999237060547,-16.999999237060546,16.999999237060546
2024,9,Saquon Barkley,RB,15.92,32.900001525878906,-16.980001525878905,16.980001525878905
2024,11,Jerry Jeudy,WR,9.3,26.200000762939453,-16.900000762939452,16.900000762939452
2025,9,Joe Flacco,QB,13.8,30.700000762939453,-16.900000762939452,16.900000762939452
2024,11,Cooper Kupp,WR,11.7,28.600000381469727,-16.900000381469727,16.900000381469727
2023,17,Isiah Pacheco,RB,12.6,29.5,-16.9,16.9
2025,9,Christian McCaffrey,RB,17.4,34.29999923706055,-16.89999923706055,16.89999923706055
2025,17,Chris Godwin Jr.,WR,6.9,23.799999237060547,-16.89999923706055,16.89999923706055
2025,11,George Pickens,WR,12.6,29.399999618530273,-16.799999618530272,16.799999618530272
2024,5,Tucker Kraft,TE,8.0,24.799999237060547,-16.799999237060547,16.799999237060547
2023,8,Jahan Dotson,WR,8.0,24.799999237060547,-16.799999237060547,16.799999237060547
2025,8,James Cook,RB,16.84,33.599998474121094,-16.759998474121094,16.759998474121094
2024,14,Davante Adams,WR,9.2,25.899999618530273,-16.699999618530274,16.699999618530274
2023,12,Bijan Robinson,RB,10.6,27.299999237060547,-16.699999237060545,16.699999237060545
2025,8,Saquon Barkley,RB,16.75,33.400001525878906,-16.650001525878906,16.650001525878906
2023,17,Austin Ekeler,RB,20.65,4.0,16.65,16.65
2024,13,Jameis Winston,QB,16.36,32.97999954223633,-16.61999954223633,16.61999954223633
2024,16,Jalen Hurts,QB,21.14,4.539999961853027,16.600000038146973,16.600000038146973
2024,5,DJ Moore,WR,10.9,27.5,-16.6,16.6
2025,11,Josh Jacobs,RB,20.56,4.0,16.56,16.56
2023,15,David Njoku,TE,9.9,26.399999618530273,-16.499999618530275,16.499999618530275
2023,15,Christian McCaffrey,RB,25.29,41.70000076293945,-16.410000762939454,16.410000762939454
2023,6,Amon-Ra St. Brown,WR,14.0,30.399999618530273,-16.399999618530273,16.399999618530273
2025,12,DJ Moore,WR,7.0,23.399999618530273,-16.399999618530273,16.399999618530273
2025,16,Kenneth Walker III,RB,9.0,25.399999618530273,-16.399999618530273,16.399999618530273
2023,7,Alvin Kamara,RB,12.9,29.299999237060547,-16.39999923706055,16.39999923706055
2023,12,Jalen Hurts,QB,18.12,34.5,-16.38,16.38
2023,8,Patrick Mahomes,QB,21.95,5.599999904632568,16.35000009536743,16.35000009536743
2024,7,David Njoku,TE,7.3,23.600000381469727,-16.300000381469726,16.300000381469726
2023,15,Terry McLaurin,WR,9.8,26.100000381469727,-16.300000381469726,16.300000381469726
2024,4,Rashee Rice,WR,16.3,0.0,16.3,16.3
2025,5,Christian McCaffrey,RB,11.6,27.899999618530273,-16.299999618530272,16.299999618530272
2024,11,Tee Higgins,WR,13.5,29.799999237060547,-16.299999237060547,16.299999237060547
2024,8,James Cook,RB,12.0,28.299999237060547,-16.299999237060547,16.299999237060547
2023,6,Justin Fields,QB,21.21,4.920000076293945,16.289999923706056,16.289999923706056
2024,15,Lamar Jackson,QB,19.81,36.099998474121094,-16.289998474121095,16.289998474121095
2024,15,James Conner,RB,14.52,30.799999237060547,-16.279999237060547,16.279999237060547
2025,17,Zach Charbonnet,RB,10.0,26.200000762939453,-16.200000762939453,16.200000762939453
2023,13,Mike Evans,WR,13.0,29.200000762939453,-16.200000762939453,16.200000762939453
2023,17,Jerome Ford,RB,9.9,26.100000381469727,-16.200000381469728,16.200000381469728
2025,11,Travis Kelce,TE,7.9,24.100000381469727,-16.200000381469728,16.200000381469728
2024,7,Andy Dalton,QB,16.21,0.019999999552965164,16.190000000447036,16.190000000447036
2023,10,Trevor Lawrence,QB,18.27,2.0999999046325684,16.17000009536743,16.17000009536743
2024,4,Breece Hall,RB,19.91,3.799999952316284,16.110000047683716,16.110000047683716
2023,16,Gabe Davis,WR,6.9,23.0,-16.1,16.1
2024,13,David Njoku,TE,10.2,26.200000762939453,-16.000000762939454,16.000000762939454
2024,16,Keenan Allen,WR,13.1,29.100000381469727,-16.000000381469725,16.000000381469725
2025,12,Hunter Henry,TE,8.5,24.5,-16.0,16.0
2023,9,Cole Kmet,TE,7.5,23.5,-16.0,16.0
2024,15,Brock Purdy,QB,19.96,3.9800000190734863,15.979999980926515,15.979999980926515
2023,14,Justin Herbert,QB,17.75,1.840000033378601,15.909999966621399,15.909999966621399
2025,15,Tyrone Tracy Jr.,RB,8.8,24.700000762939453,-15.900000762939452,15.900000762939452
2025,17,Rhamondre Stevenson,RB,11.3,27.200000762939453,-15.900000762939452,15.900000762939452
2024,12,Jonnu Smith,TE,7.8,23.700000762939453,-15.900000762939452,15.900000762939452
2024,14,Saquon Barkley,RB,30.3,14.399999618530273,15.900000381469727,15.900000381469727
2025,8,RJ Harvey,RB,8.2,24.100000381469727,-15.900000381469727,15.900000381469727
2025,14,Christian Watson,WR,9.0,24.899999618530273,-15.899999618530273,15.899999618530273
2025,8,Baker Mayfield,QB,19.96,4.079999923706055,15.880000076293946,15.880000076293946
2023,15,Zach Wilson,QB,14.9,-0.9599999785423279,15.859999978542328,15.859999978542328
2023,13,Jake Browning,QB,10.8,26.65999984741211,-15.859999847412109,15.859999847412109
2025,9,Kyle Monangai,RB,7.0,22.799999237060547,-15.799999237060547,15.799999237060547
2024,5,Brock Bowers,TE,8.0,23.700000762939453,-15.700000762939453,15.700000762939453
2024,17,Mike Evans,WR,14.0,29.700000762939453,-15.700000762939453,15.700000762939453
2023,11,Jaylen Warren,RB,7.8,23.5,-15.7,15.7
2023,7,Lamar Jackson,QB,18.27,33.880001068115234,-15.610001068115235,15.610001068115235
2023,15,Jaylen Waddle,WR,12.6,28.200000762939453,-15.600000762939453,15.600000762939453
2024,8,Marvin Harrison Jr.,WR,7.5,23.100000381469727,-15.600000381469727,15.600000381469727
2023,12,Nico Collins,WR,7.8,23.399999618530273,-15.599999618530273,15.599999618530273
2025,16,Brock Purdy,QB,15.3,30.899999618530273,-15.599999618530273,15.599999618530273
2024,13,Mike Evans,WR,10.2,25.799999237060547,-15.599999237060548,15.599999237060548
2025,4,Dak Prescott,QB,15.4,30.959999084472656,-15.559999084472656,15.559999084472656
2025,16,Jaxson Dart,QB,15.55,0.019999999552965164,15.530000000447036,15.530000000447036
2025,16,Alec Pierce,WR,9.1,24.600000381469727,-15.500000381469727,15.500000381469727
2025,15,Jameson Williams,WR,10.9,26.399999618530273,-15.499999618530273,15.499999618530273
2023,12,Zay Flowers,WR,7.8,23.200000762939453,-15.400000762939452,15.400000762939452
2024,6,Cole Kmet,TE,8.6,24.0,-15.4,15.4
2023,7,Patrick Mahomes,QB,18.49,33.86000061035156,-15.370000610351564,15.370000610351564
2024,6,Dak Prescott,QB,18.56,3.2200000286102295,15.33999997138977,15.33999997138977
2024,14,Justin Jefferson,WR,16.9,32.20000076293945,-15.300000762939455,15.300000762939455
2025,5,Rachaad White,RB,7.8,23.100000381469727,-15.300000381469726,15.300000381469726
2025,5,Stefon Diggs,WR,9.3,24.600000381469727,-15.300000381469726,15.300000381469726
2023,17,Juwan Johnson,TE,7.7,23.0,-15.3,15.3
2025,15,DJ Moore,WR,7.6,22.899999618530273,-15.299999618530274,15.299999618530274
2024,17,Trey McBride,TE,15.0,30.299999237060547,-15.299999237060547,15.299999237060547
2024,15,Aaron Rodgers,QB,14.8,30.059999465942383,-15.259999465942382,15.259999465942382
2023,11,Trevor Lawrence,QB,16.94,32.18000030517578,-15.24000030517578,15.24000030517578
2025,4,Russell Wilson,QB,15.55,0.3199999928474426,15.230000007152558,15.230000007152558
2025,6,Jaxon Smith-Njigba,WR,15.0,30.200000762939453,-15.200000762939453,15.200000762939453
2023,12,Rashee Rice,WR,9.5,24.700000762939453,-15.200000762939453,15.200000762939453
2025,9,Dalton Kincaid,TE,6.9,22.100000381469727,-15.200000381469726,15.200000381469726
2025,11,Mac Jones,QB,14.9,-0.30000001192092896,15.20000001192093,15.20000001192093
2024,17,Adam Thielen,WR,12.8,28.0,-15.2,15.2
2023,14,Tyreek Hill,WR,25.3,10.100000381469727,15.199999618530274,15.199999618530274
2023,13,Austin Ekeler,RB,19.81,4.699999809265137,15.110000190734862,15.110000190734862
2025,14,Tee Higgins,WR,12.1,27.200000762939453,-15.100000762939453,15.100000762939453
2024,15,Rashod Bateman,WR,7.9,23.0,-15.1,15.1
2025,13,Jameson Williams,WR,11.8,26.899999618530273,-15.099999618530273,15.099999618530273
2024,13,Najee Harris,RB,9.8,24.899999618530273,-15.099999618530273,15.099999618530273
2024,17,Joe Burrow,QB,21.88,36.97999954223633,-15.09999954223633,15.09999954223633
2024,8,George Kittle,TE,9.7,24.799999237060547,-15.099999237060548,15.099999237060548
2024,8,Calvin Ridley,WR,7.6,22.600000381469727,-15.000000381469727,15.000000381469727
2025,4,DK Metcalf,WR,8.6,23.600000381469727,-15.000000381469727,15.000000381469727
2023,16,Tee Higgins,WR,10.0,25.0,-15.0,15.0
2024,14,Rachaad White,RB,9.9,24.899999618530273,-14.999999618530273,14.999999618530273
2024,11,Matthew Stafford,QB,12.8,27.799999237060547,-14.999999237060546,14.999999237060546
2024,12,Christian McCaffrey,RB,22.78,7.800000190734863,14.979999809265138,14.979999809265138
2025,14,Tyrod Taylor,QB,13.2,-1.7599999904632568,14.959999990463256,14.959999990463256
2025,13,Bijan Robinson,RB,15.36,30.299999237060547,-14.939999237060547,14.939999237060547
2023,17,Kyren Williams,RB,15.17,30.100000381469727,-14.930000381469727,14.930000381469727
2023,9,Jake Ferguson,TE,7.2,22.100000381469727,-14.900000381469727,14.900000381469727
