year,week,player,pos,base_proj,var_proj,actual,var_error,perstat_shift,abs_error
2024,14,Josh Allen,QB,4.26,4.26,51.88,-47.62,0.0,47.62
2025,15,Kyle Pitts,TE,6.91,7.29,45.6,-38.31,0.38,38.31
2024,10,Ja'Marr Chase,WR,19.57,19.38,55.4,-36.02,-0.19,36.02
2025,9,Brock Bowers,TE,10.04,10.61,43.3,-32.69,0.57,32.69
2024,14,Zach Charbonnet,RB,6.63,6.63,38.3,-31.67,0.0,31.67
2025,3,Tre Tucker,WR,9.48,9.58,40.9,-31.32,0.1,31.32
2025,16,Puka Nacua,WR,14.96,15.34,46.5,-31.16,0.38,31.16
2024,14,Puka Nacua,WR,11.69,11.69,41.8,-30.11,0.0,30.11
2025,10,Jonathan Taylor,RB,20.36,19.99,49.6,-29.61,-0.37,29.61
2024,15,Davante Adams,WR,13.52,13.52,42.8,-29.28,0.0,29.28
2025,17,Derrick Henry,RB,16.49,16.76,45.6,-28.84,0.27,28.84
2025,12,Jahmyr Gibbs,RB,27.63,27.08,55.4,-28.32,-0.55,28.32
2024,13,Jerry Jeudy,WR,11.69,12.27,40.5,-28.23,0.58,28.23
2025,15,Trevor Lawrence,QB,16.94,16.42,44.3,-27.88,-0.52,27.88
2025,14,Michael Wilson,WR,9.48,9.67,37.2,-27.53,0.19,27.53
2025,15,Amon-Ra St. Brown,WR,14.19,13.9,41.4,-27.5,-0.29,27.5
2024,18,Drake London,WR,14.0,13.23,40.7,-27.47,-0.77,27.47
2024,8,CeeDee Lamb,WR,12.27,12.37,39.6,-27.23,0.1,27.23
2025,16,Chris Olave,WR,10.25,10.16,36.8,-26.64,-0.09,26.64
2024,16,Jonathan Taylor,RB,13.17,13.17,39.8,-26.63,0.0,26.63
2025,15,Trey McBride,TE,10.23,11.37,37.4,-26.03,1.14,26.03
2024,9,Jaxon Smith-Njigba,WR,11.21,11.12,37.0,-25.88,-0.09,25.88
2024,18,Jahmyr Gibbs,RB,21.09,20.17,46.0,-25.83,-0.92,25.83
2025,7,Christian McCaffrey,RB,13.54,13.36,39.1,-25.74,-0.18,25.74
2024,15,Jared Goff,QB,16.35,15.76,41.06,-25.3,-0.59,25.3
2024,17,Malik Nabers,WR,10.35,11.02,36.1,-25.08,0.67,25.08
2025,18,Rhamondre Stevenson,RB,10.68,10.32,35.3,-24.98,-0.36,24.98
2024,17,Tee Higgins,WR,15.83,15.15,40.1,-24.95,-0.68,24.95
2025,17,Bijan Robinson,RB,14.83,15.01,39.9,-24.89,0.18,24.89
2024,5,Ja'Marr Chase,WR,16.79,16.59,41.3,-24.71,-0.2,24.71
2024,15,Mike Evans,WR,12.17,12.27,36.9,-24.63,0.1,24.63
2025,10,De'Von Achane,RB,16.12,16.3,40.5,-24.2,0.18,24.2
2025,8,Tucker Kraft,TE,9.47,9.19,33.3,-24.11,-0.28,24.11
2025,9,Drake London,WR,14.77,14.77,38.8,-24.03,0.0,24.03
2025,7,Bo Nix,QB,16.13,15.98,39.96,-23.98,-0.15,23.98
2024,14,Jordan Addison,WR,15.83,15.44,39.3,-23.86,-0.39,23.86
2025,11,Tetairoa McMillan,WR,8.91,9.19,33.0,-23.81,0.28,23.81
2025,11,Josh Allen,QB,19.59,19.08,42.68,-23.6,-0.51,23.6
2024,12,Saquon Barkley,RB,23.12,22.75,46.2,-23.45,-0.37,23.45
2025,7,DeVonta Smith,WR,9.96,9.87,33.3,-23.43,-0.09,23.43
2024,11,Brock Bowers,TE,7.67,8.24,31.3,-23.06,0.57,23.06
2025,16,Ashton Jeanty,RB,8.01,8.75,31.8,-23.05,0.74,23.05
2025,11,TreVeyon Henderson,RB,9.58,9.3,32.3,-23.0,-0.28,23.0
2025,13,A.J. Brown,WR,12.65,12.27,35.2,-22.93,-0.38,22.93
2025,12,Wan'Dale Robinson,WR,7.66,7.95,30.6,-22.65,0.29,22.65
2024,14,Ja'Marr Chase,WR,23.32,22.46,45.1,-22.64,-0.86,22.64
2025,9,Caleb Williams,QB,16.64,16.28,38.7,-22.42,-0.36,22.42
2025,9,Tee Higgins,WR,10.73,10.73,33.1,-22.37,0.0,22.37
2024,4,De'Von Achane,RB,27.82,27.91,5.9,22.01,0.09,22.01
2024,6,Chris Godwin Jr.,WR,13.71,13.52,35.5,-21.98,-0.19,21.98
2024,12,Jordan Addison,WR,8.43,8.43,30.2,-21.77,0.0,21.77
2025,8,Breece Hall,RB,10.87,11.24,32.86,-21.62,0.37,21.62
2024,15,Amon-Ra St. Brown,WR,16.5,15.73,37.3,-21.57,-0.77,21.57
2024,11,Jonnu Smith,TE,6.91,6.62,28.1,-21.48,-0.29,21.48
2024,11,Amon-Ra St. Brown,WR,18.32,17.36,38.7,-21.34,-0.96,21.34
2025,4,Justice Hill,RB,7.55,7.37,28.7,-21.33,-0.18,21.33
2024,8,Cade Otton,TE,7.95,7.86,29.1,-21.24,-0.09,21.24
2025,4,George Pickens,WR,12.08,12.37,33.4,-21.03,0.29,21.03
2025,6,Rico Dowdle,RB,12.89,12.99,33.9,-20.91,0.1,20.91
2025,14,Puka Nacua,WR,15.83,14.86,35.7,-20.84,-0.97,20.84
2024,16,Justin Jefferson,WR,15.63,15.63,36.4,-20.77,0.0,20.77
2025,4,Puka Nacua,WR,15.83,15.25,36.0,-20.75,-0.58,20.75
2024,5,Darnell Mooney,WR,11.12,10.92,31.5,-20.58,-0.2,20.58
2025,18,Alec Pierce,WR,8.04,8.62,29.2,-20.58,0.58,20.58
2025,3,Hunter Henry,TE,8.33,8.43,29.0,-20.57,0.1,20.57
2025,6,Bijan Robinson,RB,15.29,15.29,35.8,-20.51,0.0,20.51
2025,12,Jaxon Smith-Njigba,WR,17.27,16.59,37.1,-20.51,-0.68,20.51
2025,6,George Pickens,WR,11.6,11.31,31.8,-20.49,-0.29,20.49
2025,6,Drake London,WR,11.4,11.31,31.8,-20.49,-0.09,20.49
2025,5,Emeka Egbuka,WR,10.64,10.83,31.3,-20.47,0.19,20.47
2025,4,Ashton Jeanty,RB,13.26,13.08,33.5,-20.42,-0.18,20.42
2025,7,Jahmyr Gibbs,RB,16.86,16.49,36.8,-20.31,-0.37,20.31
2024,18,Jayden Daniels,QB,25.12,24.46,4.22,20.24,-0.66,20.24
2024,3,Dallas Goedert,TE,7.0,6.91,27.0,-20.09,-0.09,20.09
2024,12,Jaylen Waddle,WR,8.62,8.33,28.4,-20.07,-0.29,20.07
2025,16,Chase Brown,RB,13.26,12.89,32.9,-20.01,-0.37,20.01
2024,3,De'Von Achane,RB,28.28,28.74,8.8,19.94,0.46,19.94
2025,17,Luther Burden III,WR,8.04,7.95,27.8,-19.85,-0.09,19.85
2025,14,Tony Pollard,RB,7.92,8.29,28.1,-19.81,0.37,19.81
2024,5,Garrett Wilson,WR,9.1,9.29,29.1,-19.81,0.19,19.81
2024,3,Chuba Hubbard,RB,7.83,8.11,27.9,-19.79,0.28,19.79
2025,5,Jacory Croskey-Merritt,RB,7.28,7.28,27.0,-19.72,0.0,19.72
2024,3,Derrick Henry,RB,10.78,10.68,30.4,-19.72,-0.1,19.72
2025,11,Justin Herbert,QB,23.06,22.98,3.34,19.64,-0.08,19.64
2024,17,De'Von Achane,RB,25.14,25.42,5.8,19.62,0.28,19.62
2025,6,Cam Skattebo,RB,11.05,11.51,31.0,-19.49,0.46,19.49
2025,18,Zay Flowers,WR,10.54,10.44,29.8,-19.36,-0.1,19.36
2025,14,Daniel Jones,QB,20.33,20.11,0.8,19.31,-0.22,19.31
2025,7,A.J. Brown,WR,8.91,8.81,28.1,-19.29,-0.1,19.29
2025,7,Ja'Marr Chase,WR,19.19,18.9,38.1,-19.2,-0.29,19.2
2025,6,Puka Nacua,WR,24.67,23.99,4.8,19.19,-0.68,19.19
2024,9,Demarcus Robinson,WR,8.33,8.23,27.4,-19.17,-0.1,19.17
2025,7,Keenan Allen,WR,10.06,9.77,28.9,-19.13,-0.29,19.13
2024,10,De'Von Achane,RB,29.47,29.29,10.2,19.09,-0.18,19.09
2024,15,DeVonta Smith,WR,9.0,8.91,28.0,-19.09,-0.09,19.09
2024,12,Courtland Sutton,WR,10.83,10.64,29.7,-19.06,-0.19,19.06
2024,5,Drake London,WR,14.77,14.58,33.4,-18.82,-0.19,18.82
2025,3,David Montgomery,RB,11.14,10.59,29.4,-18.81,-0.55,18.81
2025,14,Shedeur Sanders,QB,14.36,14.73,33.46,-18.73,0.37,18.73
2024,14,Jauan Jennings,WR,9.29,9.29,28.0,-18.71,0.0,18.71
2025,12,Jameis Winston,QB,13.25,13.55,32.24,-18.69,0.3,18.69
2025,17,Brock Purdy,QB,18.86,18.27,36.92,-18.65,-0.59,18.65
2024,18,Bryce Young,QB,17.75,17.82,36.44,-18.62,0.07,18.62
2025,11,Christian McCaffrey,RB,16.86,16.49,35.1,-18.61,-0.37,18.61
2024,16,Chuba Hubbard,RB,13.72,13.91,32.5,-18.59,0.19,18.59
2024,4,Jayden Reed,WR,8.62,8.52,27.1,-18.58,-0.1,18.58
2024,11,Joe Mixon,RB,16.86,16.76,35.3,-18.54,-0.1,18.54
2025,18,Dak Prescott,QB,19.96,19.22,0.7,18.52,-0.74,18.52
2024,16,Brian Thomas Jr.,WR,9.48,9.77,28.2,-18.43,0.29,18.43
2024,9,Garrett Wilson,WR,11.6,11.6,30.0,-18.4,0.0,18.4
2024,17,Ladd McConkey,WR,11.21,11.02,29.4,-18.38,-0.19,18.38
2025,13,Amon-Ra St. Brown,WR,18.8,18.32,0.0,18.32,-0.48,18.32
2024,13,Brock Bowers,TE,10.33,11.94,30.2,-18.26,1.61,18.26
2024,14,Tyreek Hill,WR,10.16,9.87,28.1,-18.23,-0.29,18.23
2024,9,Chase Brown,RB,8.57,8.47,26.7,-18.23,-0.1,18.23
2024,4,D'Andre Swift,RB,11.33,11.33,29.5,-18.17,0.0,18.17
2024,5,Kirk Cousins,QB,16.5,16.35,34.36,-18.01,-0.15,18.01
2024,5,Joe Burrow,QB,15.91,15.83,33.78,-17.95,-0.08,17.95
2024,4,Derrick Henry,RB,18.14,17.96,35.9,-17.94,-0.18,17.94
2025,14,Marcus Mariota,QB,15.91,15.83,-2.1,17.93,-0.08,17.93
2025,7,Trey McBride,TE,11.47,11.47,29.4,-17.93,0.0,17.93
2024,17,Zach Ertz,TE,7.57,7.29,25.2,-17.91,-0.28,17.91
2024,8,Jalen Hurts,QB,17.31,17.23,35.14,-17.91,-0.08,17.91
2024,8,Travis Kelce,TE,7.38,7.1,25.0,-17.9,-0.28,17.9
2025,8,Troy Franklin,WR,9.19,9.0,26.9,-17.9,-0.19,17.9
2025,15,TreVeyon Henderson,RB,12.25,12.25,30.1,-17.85,0.0,17.85
2024,7,Jahmyr Gibbs,RB,14.37,14.18,32.0,-17.82,-0.19,17.82
2024,7,Rachaad White,RB,11.42,11.33,29.1,-17.77,-0.09,17.77
2024,3,Malik Nabers,WR,11.02,10.44,28.2,-17.76,-0.58,17.76
2024,5,De'Von Achane,RB,20.17,20.45,2.7,17.75,0.28,17.75
2025,15,Travis Etienne,RB,14.09,13.82,31.5,-17.68,-0.27,17.68
2025,16,Christian McCaffrey,RB,15.11,14.92,32.6,-17.68,-0.19,17.68
2025,18,Brock Purdy,QB,22.91,22.69,5.18,17.51,-0.22,17.51
2024,4,Kenneth Walker III,RB,16.12,16.12,33.6,-17.48,0.0,17.48
2024,4,Nico Collins,WR,16.21,15.63,33.1,-17.47,-0.58,17.47
2024,9,Zay Flowers,WR,12.85,12.27,29.7,-17.43,-0.58,17.43
2024,11,Jared Goff,QB,17.97,17.16,34.58,-17.42,-0.81,17.42
2024,8,Ladd McConkey,WR,11.98,11.69,29.1,-17.41,-0.29,17.41
2024,4,Rashee Rice,WR,17.84,17.36,0.0,17.36,-0.48,17.36
2024,6,Joe Mixon,RB,9.86,9.86,27.2,-17.34,0.0,17.34
2025,4,Romeo Doubs,WR,13.23,12.46,29.8,-17.34,-0.77,17.34
2025,5,Jaxon Smith-Njigba,WR,10.06,9.87,27.2,-17.33,-0.19,17.33
2025,16,Jaylen Warren,RB,11.79,11.79,29.1,-17.31,0.0,17.31
2025,18,Tyrone Tracy Jr.,RB,10.78,10.59,27.9,-17.31,-0.19,17.31
2024,15,Jameis Winston,QB,16.5,16.94,-0.36,17.3,0.44,17.3
2025,6,Kayshon Boutte,WR,9.0,9.0,26.3,-17.3,0.0,17.3
2024,17,Michael Pittman,WR,8.71,8.62,25.9,-17.28,-0.09,17.28
2024,16,Jalen Hurts,QB,22.32,21.8,4.54,17.26,-0.52,17.26
2025,14,Harold Fannin Jr.,TE,7.76,8.14,25.4,-17.26,0.38,17.26
2024,11,Jauan Jennings,WR,8.14,7.85,25.1,-17.25,-0.29,17.25
2024,3,Saquon Barkley,RB,16.49,16.39,33.6,-17.21,-0.1,17.21
2024,17,DeVonta Smith,WR,12.85,12.85,30.0,-17.15,0.0,17.15
2024,13,Jameis Winston,QB,15.39,15.91,32.98,-17.07,0.52,17.07
2025,10,Jahmyr Gibbs,RB,21.55,21.18,38.2,-17.02,-0.37,17.02
2024,12,Bucky Irving,RB,10.32,10.22,27.2,-16.98,-0.1,16.98
2024,5,Tee Higgins,WR,12.46,12.37,29.3,-16.93,-0.09,16.93
2024,15,Josh Allen,QB,25.05,24.38,41.28,-16.9,-0.67,16.9
2025,9,Christian McCaffrey,RB,17.59,17.41,34.3,-16.89,-0.18,16.89
2025,14,Josh Allen,QB,22.1,20.99,37.84,-16.85,-1.11,16.85
2025,5,Ja'Marr Chase,WR,11.79,12.17,29.0,-16.83,0.38,16.83
2024,16,Jayden Daniels,QB,17.46,17.6,34.42,-16.82,0.14,16.82
2025,6,Dallas Goedert,TE,9.28,9.19,26.0,-16.81,-0.09,16.81
2024,16,Jameson Williams,WR,9.87,9.19,26.0,-16.81,-0.68,16.81
2025,3,Mark Andrews,TE,11.28,10.33,27.1,-16.77,-0.95,16.77
2024,3,Kyren Williams,RB,14.74,14.83,31.6,-16.77,0.09,16.77
2025,18,James Cook,RB,18.51,18.24,1.5,16.74,-0.27,16.74
2025,15,James Cook,RB,14.74,14.46,31.1,-16.64,-0.28,16.64
2024,11,Cooper Kupp,WR,12.08,11.98,28.6,-16.62,-0.1,16.62
2024,9,Saquon Barkley,RB,16.58,16.3,32.9,-16.6,-0.28,16.6
2024,13,Terry McLaurin,WR,10.92,10.73,27.3,-16.57,-0.19,16.57
2025,16,Kenneth Walker III,RB,8.84,8.84,25.4,-16.56,0.0,16.56
2025,11,Josh Jacobs,RB,20.72,20.54,4.0,16.54,-0.18,16.54
2025,10,Emeka Egbuka,WR,7.08,6.98,23.5,-16.52,-0.1,16.52
2024,15,Brock Purdy,QB,20.92,20.48,3.98,16.5,-0.44,16.5
2024,3,Zach Charbonnet,RB,9.3,9.21,25.7,-16.49,-0.09,16.49
2025,5,Christian McCaffrey,RB,11.42,11.42,27.9,-16.48,0.0,16.48
2025,8,Baker Mayfield,QB,20.92,20.48,4.08,16.4,-0.44,16.4
2024,18,Jordan Addison,WR,18.04,17.36,1.0,16.36,-0.68,16.36
2024,16,Keenan Allen,WR,12.46,12.75,29.1,-16.35,0.29,16.35
2025,3,Alvin Kamara,RB,21.64,22.93,6.6,16.33,1.29,16.33
2025,3,Omarion Hampton,RB,8.66,8.57,24.9,-16.33,-0.09,16.33
2024,14,Davante Adams,WR,9.29,9.58,25.9,-16.32,0.29,16.32
2025,9,Joe Flacco,QB,14.51,14.43,30.7,-16.27,-0.08,16.27
2025,10,George Kittle,TE,7.19,7.19,23.4,-16.21,0.0,16.21
2025,8,James Cook,RB,17.59,17.41,33.6,-16.19,-0.18,16.19
2024,7,Andy Dalton,QB,15.98,16.2,0.02,16.18,0.22,16.18
2024,11,Jerry Jeudy,WR,10.06,10.06,26.2,-16.14,0.0,16.14
2024,7,David Njoku,TE,6.91,7.48,23.6,-16.12,0.57,16.12
2025,8,Saquon Barkley,RB,17.41,17.32,33.4,-16.08,-0.09,16.08
2024,13,David Njoku,TE,9.38,10.14,26.2,-16.06,0.76,16.06
2024,8,James Cook,RB,12.25,12.25,28.3,-16.05,0.0,16.05
2024,14,Saquon Barkley,RB,32.24,30.39,14.4,15.99,-1.85,15.99
2024,18,Jakobi Meyers,WR,11.02,11.31,27.3,-15.99,0.29,15.99
2024,15,James Conner,RB,15.11,14.83,30.8,-15.97,-0.28,15.97
2024,17,Terry McLaurin,WR,17.94,17.46,1.5,15.96,-0.48,15.96
2025,11,Mac Jones,QB,15.98,15.61,-0.3,15.91,-0.37,15.91
2025,3,Zay Flowers,WR,20.53,19.19,3.3,15.89,-1.34,15.89
2025,12,Hunter Henry,TE,9.28,8.62,24.5,-15.88,-0.66,15.88
2025,11,George Pickens,WR,13.9,13.52,29.4,-15.88,-0.38,15.88
2024,6,Dak Prescott,QB,19.37,19.08,3.22,15.86,-0.29,15.86
2024,6,Cole Kmet,TE,8.14,8.14,24.0,-15.86,0.0,15.86
2025,17,Chris Godwin Jr.,WR,8.14,7.95,23.8,-15.85,-0.19,15.85
2024,5,DJ Moore,WR,11.69,11.69,27.5,-15.81,0.0,15.81
2025,17,Zach Charbonnet,RB,10.5,10.41,26.2,-15.79,-0.09,15.79
2024,18,Bo Nix,QB,18.34,17.82,33.54,-15.72,-0.52,15.72
2025,4,Dak Prescott,QB,15.1,15.32,30.96,-15.64,0.22,15.64
2024,17,Adam Thielen,WR,12.08,12.37,28.0,-15.63,0.29,15.63
2025,18,Chris Oladokun,QB,13.77,13.92,-1.68,15.6,0.15,15.6
2025,17,Alec Pierce,WR,15.63,15.54,0.0,15.54,-0.09,15.54
2024,5,Tucker Kraft,TE,9.38,9.28,24.8,-15.52,-0.1,15.52
2025,14,Tyrod Taylor,QB,13.48,13.7,-1.76,15.46,0.22,15.46
2024,5,Brock Bowers,TE,7.29,8.24,23.7,-15.46,0.95,15.46
2024,3,Amari Cooper,WR,12.46,12.17,27.6,-15.43,-0.29,15.43
2024,11,Tee Higgins,WR,14.48,14.38,29.8,-15.42,-0.1,15.42
2025,15,Tyrone Tracy Jr.,RB,9.4,9.3,24.7,-15.4,-0.1,15.4
2024,7,Jayden Daniels,QB,21.73,20.62,5.24,15.38,-1.11,15.38
2025,18,Bijan Robinson,RB,23.03,22.66,7.3,15.36,-0.37,15.36
2025,12,DJ Moore,WR,8.14,8.04,23.4,-15.36,-0.1,15.36
2025,8,RJ Harvey,RB,8.84,8.75,24.1,-15.35,-0.09,15.35
2025,12,Jameson Williams,WR,16.4,15.34,0.0,15.34,-1.06,15.34
2024,15,Lamar Jackson,QB,21.88,20.77,36.1,-15.33,-1.11,15.33
2025,9,Kyle Monangai,RB,7.65,7.55,22.8,-15.25,-0.1,15.25
2025,17,Rhamondre Stevenson,RB,12.25,11.97,27.2,-15.23,-0.28,15.23
2025,13,Bijan Robinson,RB,14.92,15.11,30.3,-15.19,0.19,15.19
2025,14,Christian Watson,WR,9.96,9.77,24.9,-15.13,-0.19,15.13
2024,17,Trey McBride,TE,14.89,15.17,30.3,-15.13,0.28,15.13
2024,4,Breece Hall,RB,20.36,18.88,3.8,15.08,-1.48,15.08
2025,4,Russell Wilson,QB,14.95,15.39,0.32,15.07,0.44,15.07
2024,8,Kyle Pitts,TE,10.23,10.04,25.1,-15.06,-0.19,15.06
2025,16,Brock Purdy,QB,16.2,15.91,30.9,-14.99,-0.29,14.99
2025,5,Rachaad White,RB,8.01,8.11,23.1,-14.99,0.1,14.99
2024,5,Jordan Mason,RB,24.78,23.76,8.8,14.96,-1.02,14.96
2024,13,Najee Harris,RB,9.86,9.95,24.9,-14.95,0.09,14.95
2025,6,Jaxon Smith-Njigba,WR,15.54,15.25,30.2,-14.95,-0.29,14.95
2024,18,Pat Freiermuth,TE,7.76,7.57,22.5,-14.93,-0.19,14.93
2025,5,Stefon Diggs,WR,9.48,9.67,24.6,-14.93,0.19,14.93
2024,17,Mike Evans,WR,15.63,14.77,29.7,-14.93,-0.86,14.93
2024,3,Aaron Jones,RB,10.87,10.87,25.8,-14.93,0.0,14.93
2024,3,Rhamondre Stevenson,RB,14.09,15.2,0.3,14.9,1.11,14.9
2025,11,Bijan Robinson,RB,15.66,15.47,30.3,-14.83,-0.19,14.83
2024,12,DJ Moore,WR,11.6,12.08,26.9,-14.82,0.48,14.82
2025,11,Travis Kelce,TE,9.47,9.28,24.1,-14.82,-0.19,14.82
2024,12,Jonnu Smith,TE,9.47,8.9,23.7,-14.8,-0.57,14.8
2024,13,Kirk Cousins,QB,16.94,16.87,2.1,14.77,-0.07,14.77
2025,7,Caleb Williams,QB,19.67,19.45,4.68,14.77,-0.22,14.77
2024,5,Jerry Jeudy,WR,17.07,17.36,2.6,14.76,0.29,14.76
2025,16,Alec Pierce,WR,9.67,9.87,24.6,-14.73,0.2,14.73
2025,15,Jameson Williams,WR,11.89,11.69,26.4,-14.71,-0.2,14.71
2025,14,Jalen Hurts,QB,17.01,17.09,2.4,14.69,0.08,14.69
2024,18,Sam Darnold,QB,23.2,22.32,7.64,14.68,-0.88,14.68
2025,5,Javonte Williams,RB,12.25,12.25,26.9,-14.65,0.0,14.65
2024,6,Garrett Wilson,WR,9.87,10.06,24.7,-14.64,0.19,14.64
2025,14,Tee Higgins,WR,12.37,12.56,27.2,-14.64,0.19,14.64
2024,18,Jared Goff,QB,25.27,23.87,9.24,14.63,-1.4,14.63
2024,16,Jerome Ford,RB,9.4,9.49,24.1,-14.61,0.09,14.61
2024,3,Dak Prescott,QB,15.47,15.32,29.86,-14.54,-0.15,14.54
2025,7,Chris Olave,WR,11.98,12.27,26.8,-14.53,0.29,14.53
2025,5,James Cook,RB,19.71,19.43,4.9,14.53,-0.28,14.53
2025,16,Trevor Lawrence,QB,16.5,16.64,31.16,-14.52,0.14,14.52
2024,15,Chase Brown,RB,12.16,11.79,26.3,-14.51,-0.37,14.51
2025,18,Colston Loveland,TE,11.47,10.61,25.1,-14.49,-0.86,14.49
2024,13,Mike Evans,WR,11.69,11.31,25.8,-14.49,-0.38,14.49
2024,14,Rachaad White,RB,10.68,10.41,24.9,-14.49,-0.27,14.49
2024,8,George Kittle,TE,10.8,10.33,24.8,-14.47,-0.47,14.47
2025,15,Joe Burrow,QB,20.33,19.96,5.5,14.46,-0.37,14.46
2025,7,Jaxson Dart,QB,13.33,13.99,28.42,-14.43,0.66,14.43
2024,8,Jordan Mason,RB,16.76,16.21,1.8,14.41,-0.55,14.41
2025,9,Rico Dowdle,RB,12.8,13.72,28.1,-14.38,0.92,14.38
2025,15,DJ Moore,WR,8.43,8.52,22.9,-14.38,0.09,14.38
2024,10,Calvin Ridley,WR,10.35,11.02,25.4,-14.38,0.67,14.38
2024,17,Joe Burrow,QB,23.42,22.61,36.98,-14.37,-0.81,14.37
2024,3,James Conner,RB,17.96,17.87,3.5,14.37,-0.09,14.37
2024,3,Rashid Shaheed,WR,14.77,14.29,0.0,14.29,-0.48,14.29
2024,11,Matthew Stafford,QB,13.62,13.55,27.8,-14.25,-0.07,14.25
2024,4,Justin Fields,QB,17.75,17.75,31.98,-14.23,0.0,14.23
2024,8,Jordan Love,QB,20.4,19.96,5.74,14.22,-0.44,14.22
2025,16,Marcus Mariota,QB,17.31,17.9,3.7,14.2,0.59,14.2
2025,17,Jared Goff,QB,16.72,16.28,2.08,14.2,-0.44,14.2
2024,3,Jonathan Taylor,RB,12.43,12.34,26.5,-14.16,-0.09,14.16
2025,9,Dalton Kincaid,TE,8.14,7.95,22.1,-14.15,-0.19,14.15
2024,12,Josh Jacobs,RB,14.64,14.46,28.6,-14.14,-0.18,14.14
2024,13,Adam Thielen,WR,9.58,9.77,23.9,-14.13,0.19,14.13
2025,7,Jaxon Smith-Njigba,WR,12.17,12.17,26.3,-14.13,0.0,14.13
2024,5,Lamar Jackson,QB,19.81,19.3,33.42,-14.12,-0.51,14.12
2025,13,Jameson Williams,WR,13.13,12.85,26.9,-14.05,-0.28,14.05
2024,17,Brian Thomas Jr.,WR,9.58,9.87,23.9,-14.03,0.29,14.03
2024,7,C.J. Stroud,QB,19.37,19.37,5.34,14.03,0.0,14.03
2024,12,Christian McCaffrey,RB,21.28,21.83,7.8,14.03,0.55,14.03
2024,12,Trey McBride,TE,11.28,11.28,25.3,-14.02,0.0,14.02
2024,15,Rashod Bateman,WR,9.39,9.0,23.0,-14.0,-0.39,14.0
2025,10,Trey McBride,TE,12.99,13.75,27.7,-13.95,0.76,13.95
2025,8,Chase Brown,RB,11.7,11.61,25.5,-13.89,-0.09,13.89
2025,5,Jonathan Taylor,RB,17.96,17.78,31.6,-13.82,-0.18,13.82
2024,15,A.J. Brown,WR,11.31,11.21,25.0,-13.79,-0.1,13.79
2025,5,Jake Ferguson,TE,10.33,10.14,23.9,-13.76,-0.19,13.76
2024,14,Tee Higgins,WR,18.8,18.04,4.3,13.74,-0.76,13.74
2025,12,Chimere Dike,WR,6.98,7.66,21.4,-13.74,0.68,13.74
2024,18,Drake Maye,QB,13.18,13.7,0.0,13.7,0.52,13.7
2024,4,Jared Goff,QB,13.77,13.48,27.18,-13.7,-0.29,13.7
2025,6,Jahmyr Gibbs,RB,21.28,21.18,7.5,13.68,-0.1,13.68
2025,17,James Cook,RB,22.66,22.38,8.7,13.68,-0.28,13.68
2025,10,Michael Pittman,WR,18.52,17.56,3.9,13.66,-0.96,13.66
2025,17,Colston Loveland,TE,8.05,7.76,21.4,-13.64,-0.29,13.64
2024,7,De'Von Achane,RB,23.85,24.13,10.5,13.63,0.28,13.63
2024,9,Joe Burrow,QB,15.91,15.54,29.14,-13.6,-0.37,13.6
2024,16,Josh Allen,QB,26.23,24.75,11.16,13.59,-1.48,13.59
2024,18,Marvin Mims Jr.,WR,8.81,8.52,22.1,-13.58,-0.29,13.58
2024,7,Brian Thomas Jr.,WR,8.62,8.52,22.1,-13.58,-0.1,13.58
2024,18,Justin Jefferson,WR,23.03,21.98,8.4,13.58,-1.05,13.58
2025,11,DeVonta Smith,WR,15.54,15.34,1.8,13.54,-0.2,13.54
2025,11,Quentin Johnston,WR,13.62,13.52,0.0,13.52,-0.1,13.52
2024,14,Sam Darnold,QB,21.58,21.07,34.58,-13.51,-0.51,13.51
2024,10,Jordan Mason,RB,14.64,14.0,0.5,13.5,-0.64,13.5
2024,10,Aaron Rodgers,QB,17.68,17.53,4.04,13.49,-0.15,13.49
2024,14,Justin Jefferson,WR,19.28,18.71,32.2,-13.49,-0.57,13.49
2024,4,Josh Allen,QB,20.85,20.77,7.3,13.47,-0.08,13.47
2024,10,Joe Burrow,QB,20.4,20.26,33.72,-13.46,-0.14,13.46
2025,3,Courtland Sutton,WR,10.25,10.35,23.8,-13.45,0.1,13.45
2025,5,Rashid Shaheed,WR,8.04,7.95,21.4,-13.45,-0.09,13.45
2024,17,James Conner,RB,16.21,16.21,2.8,13.41,0.0,13.41
2025,17,Jahmyr Gibbs,RB,20.08,19.8,6.4,13.4,-0.28,13.4
2024,15,Tua Tagovailoa,QB,17.09,17.23,3.84,13.39,0.14,13.39
2024,9,Quentin Johnston,WR,8.52,8.62,22.0,-13.38,0.1,13.38
2024,13,Justin Herbert,QB,21.66,21.36,7.98,13.38,-0.3,13.38
2024,15,CeeDee Lamb,WR,12.85,13.23,26.6,-13.37,0.38,13.37
2024,11,Saquon Barkley,RB,20.72,20.45,33.8,-13.35,-0.27,13.35
2024,7,Tank Dell,WR,13.33,13.33,0.0,13.33,0.0,13.33
2025,4,Lamar Jackson,QB,24.53,24.01,10.68,13.33,-0.52,13.33
2024,17,Jameson Williams,WR,11.6,11.21,24.5,-13.29,-0.39,13.29
2025,8,Jordan Love,QB,15.24,15.02,28.3,-13.28,-0.22,13.28
2024,15,Malik Nabers,WR,9.87,10.92,24.2,-13.28,1.05,13.28
