player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,7,69,0,32,0,,,81.8,,,0,0,,66.5,0,,,0,0,0.0,0,9,13.0,11,0,0,0,0,0,0,0.0,,0,2,2.9,85.7,94.8,8.5,7.3,0,0,0.0,59.1,0,16,0.0,0,0,93.5,6,55,79.7,58,1,3,7,0,45,19,0.9,7.5
Johnathan Joseph,2969,CB,ARZ,11,260,0,1,0,13.7,76.2,99.1,5.9,4.5,0,1,4.8,38.9,0,71,23.1,3,1,155.0,16,107,41.2,108,0,10,21,4,251,69,2.6,15.7,0,1,7.4,50.0,99.3,17.1,8.6,0,5,31.3,81.5,1,11,0.0,0,4,32.6,8,141,54.2,142,1,10,16,0,57,29,0.4,7.1
Domata Peko Sr.,3068,DI,ARZ,6,1,0,1,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,39,0,0,0,0,0,0,,,0,1,-3.0,100.0,2.4,1.0,1.0,0,0,0.0,58.9,0,3,0.0,0,0,79.2,1,1,100.0,41,0,1,1,0,3,6,3.0,3.0
Tramon Williams,3558,CB,GB,7,127,0,12,0,8.5,66.7,100.0,7.9,5.3,0,1,8.3,43.2,0,20,0.0,0,1,111.1,8,68,53.5,68,0,6,12,1,74,29,1.2,9.3,0,1,4.2,100.0,83.3,10.2,10.2,0,0,0.0,59.4,0,13,0.0,0,0,110.0,5,55,43.3,66,0,9,5,0,52,31,1.0,10.4
Calais Campbell,4364,DI,BLT,14,9,0,3,0,,,2.9,,,0,0,,61.4,0,,0.0,0,0,0.0,0,5,55.6,170,3,1,0,0,0,0,0.0,,0,1,9.0,0.0,1.9,,3.0,1,1,100.0,65.3,0,,50.0,2,1,39.6,0,3,33.3,154,3,1,1,0,0,0,0.0,
Brandon Carr,4454,S,DAL,3,12,0,9,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,8.3,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,47.5,0,,,0,0,0.0,0,10,83.3,10,0,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,NO,18,645,0,20,1,6.7,56.0,79.4,14.5,8.1,0,5,20.0,75.1,1,26,5.6,1,4,64.4,14,224,34.7,282,7,16,25,1,114,60,0.6,8.1,0,3,8.2,79.5,91.8,10.0,8.0,2,4,9.1,44.4,1,74,7.7,3,2,102.7,35,371,57.5,404,8,33,44,1,401,231,1.1,11.5
Jason McCourty,5127,CB,NE,16,416,0,19,4,15.0,60.0,98.6,12.7,7.6,1,2,8.0,40.6,0,41,6.3,1,2,134.2,15,204,49.0,207,2,11,25,3,255,56,1.3,17.0,0,3,8.8,66.7,98.9,44.0,29.3,0,1,16.7,69.1,0,15,0.0,0,1,86.8,4,179,43.0,181,1,11,6,0,42,16,0.2,10.5
Steve McLendon,5232,DI,TB,18,4,0,30,0,,,1.3,,,0,0,,59.5,0,,,0,0,0.0,0,1,25.0,76,0,0,0,0,0,0,0.0,,0,0,,,1.1,,,0,0,,58.0,0,,,0,0,0.0,0,2,50.0,182,0,0,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,20,8,0,30,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,194,0,0,0,0,0,0,,,0,0,8.5,100.0,1.1,2.0,2.0,0,0,0.0,54.2,0,18,28.6,2,0,118.8,2,5,62.5,459,9,5,2,0,27,10,6.8,13.5
Joe Haden,5532,CB,PIT,14,523,0,25,1,17.4,48.4,100.0,11.5,5.6,1,6,19.4,57.9,1,45,0.0,0,6,72.2,15,184,35.2,184,2,11,31,1,242,35,1.4,16.1,0,1,11.9,56.7,100.0,17.1,9.7,1,3,10.0,76.9,1,54,9.1,2,2,81.4,17,303,57.9,303,4,19,30,1,251,48,0.9,14.8
Brandon Graham,5538,ED,PHI,16,12,0,24,1,,,1.0,,,0,0,,56.3,0,,0.0,0,0,0.0,0,2,16.7,200,3,0,0,0,0,0,0.0,,0,1,2.0,0.0,4.4,,9.0,0,0,0.0,61.5,0,,0.0,0,0,39.6,0,10,83.3,226,4,0,1,0,0,0,0.0,
Jason Pierre-Paul,5540,ED,TB,20,85,0,30,1,,,4.3,,,0,0,,42.4,0,,33.3,2,0,0.0,0,9,10.6,209,5,3,0,0,0,0,0.0,,0,2,3.1,66.7,12.8,8.9,5.9,2,2,16.7,80.6,2,40,33.3,5,2,55.2,8,71,83.5,555,12,8,12,0,107,105,1.5,13.4
Kareem Jackson,5545,S,DEN,16,666,0,10,1,3.8,88.2,97.9,14.7,13.0,0,1,5.9,66.8,0,27,5.9,1,0,89.5,15,234,35.1,239,7,15,17,0,93,61,0.4,6.2,0,5,8.5,64.0,99.7,23.2,14.8,1,5,20.0,79.6,1,35,14.7,5,3,72.9,16,385,57.8,386,4,24,25,0,205,115,0.6,12.8
Devin McCourty,5552,S,NE,16,536,0,19,2,8.6,69.2,94.9,25.4,17.6,2,3,23.1,61.3,1,18,11.1,2,2,78.4,9,242,45.1,255,2,14,13,1,78,47,0.3,8.7,0,2,9.8,83.3,100.0,25.3,21.1,1,1,8.3,63.4,1,24,15.8,3,1,117.4,10,256,47.8,256,2,14,12,2,132,43,0.5,13.2
Jerry Hughes,5556,ED,BUF,18,32,0,4,0,,,2.0,,,0,0,,66.8,0,,,0,0,0.0,0,3,9.4,151,0,0,0,0,0,0,0.0,,0,0,6.0,100.0,8.1,7.3,7.3,0,1,33.3,54.4,1,16,25.0,1,0,75.7,3,23,71.9,283,10,3,3,0,35,17,1.6,11.7
Patrick Robinson,5557,CB,NO,8,158,0,20,0,11.6,80.0,100.0,8.4,6.7,0,1,10.0,59.4,1,25,20.0,1,0,75.0,8,72,45.6,72,1,4,10,0,115,30,1.7,14.4,0,0,16.9,53.8,100.0,10.6,5.7,0,1,7.7,54.4,1,22,0.0,0,1,37.7,7,80,50.6,80,1,5,13,0,71,0,1.0,10.1
Carlos Dunlap,5579,ED,SEA,16,24,0,29,1,2.0,100.0,3.9,2.0,2.0,0,0,0.0,53.0,0,7,0.0,0,0,127.1,3,6,25.0,155,4,4,3,1,15,9,2.5,5.0,0,1,7.3,100.0,6.7,4.5,4.5,0,0,0.0,50.4,0,18,25.0,1,0,112.5,4,18,75.0,270,5,2,4,0,44,15,2.4,11.0
Sean Lee,5580,LB,DAL,9,84,0,9,0,,,82.4,,,0,0,,66.5,0,,,0,0,0.0,0,14,16.7,17,0,0,0,0,0,0,0.0,,0,2,6.8,83.3,100.0,12.4,10.3,0,0,0.0,52.2,0,19,16.7,1,0,100.0,5,66,78.6,66,0,3,6,0,48,23,0.8,9.6
Corey Peters,5607,DI,ARZ,9,2,0,1,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,118,2,1,0,0,0,0,,,0,0,6.0,100.0,1.8,2.0,2.0,0,0,0.0,37.3,0,9,0.0,0,0,104.2,1,2,100.0,109,0,1,1,0,9,3,4.5,9.0
Everson Griffen,5624,ED,DET,14,13,0,11,1,,,0.8,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,7.7,125,1,0,0,0,0,0,0.0,,0,0,-1.0,100.0,5.9,11.0,11.0,0,0,0.0,45.2,0,21,,0,0,118.8,1,11,84.6,186,4,0,1,0,21,22,1.9,21.0
Sherrick McManis,5667,S,CHI,7,23,0,6,0,,,100.0,,,0,0,,60.3,0,,,0,0,0.0,0,2,8.7,2,0,0,0,0,0,0,0.0,,0,0,-3.0,100.0,93.8,15.0,15.0,0,0,0.0,27.5,0,12,0.0,0,0,116.7,1,15,65.2,16,0,1,1,0,12,15,0.8,12.0
Tramaine Brock Sr.,5903,CB,DET,1,27,0,11,0,9.0,66.7,100.0,4.5,3.0,0,0,0.0,56.2,0,15,0.0,0,0,88.2,2,11,40.7,11,1,2,3,0,22,5,2.4,11.0,0,0,15.0,80.0,100.0,3.3,2.6,0,1,20.0,45.2,0,22,25.0,1,0,103.3,4,16,59.3,16,0,3,5,0,44,13,3.4,11.0
Anthony Levine,6013,S,BLT,6,24,0,3,0,8.5,100.0,100.0,4.0,4.0,0,0,0.0,33.5,0,10,0.0,0,0,141.7,2,9,37.5,9,0,1,2,1,17,0,2.1,8.5,0,0,,,88.9,,,0,0,,62.3,0,,,0,0,0.0,0,8,33.3,9,0,0,0,0,0,0,0.0,
Andrew Sendejo,6118,S,CLV,16,625,0,8,2,4.9,85.7,99.2,19.7,16.9,0,0,0.0,51.1,0,21,14.3,1,0,134.2,6,126,20.2,127,1,4,7,1,47,23,0.4,7.8,0,6,16.4,50.0,99.1,24.5,12.3,1,5,13.9,47.6,0,47,8.7,4,3,84.1,18,462,73.9,466,5,36,36,1,269,82,0.6,14.9
Patrick Peterson,6157,CB,ARZ,16,691,0,1,1,10.0,65.1,100.0,10.1,6.6,0,3,7.0,49.4,1,24,17.4,4,1,109.9,28,310,44.9,310,4,18,43,4,333,133,1.2,11.9,0,1,14.8,67.7,98.9,16.0,10.9,0,3,9.7,59.5,2,52,4.3,1,3,76.4,21,360,52.1,364,3,21,31,0,333,73,1.0,15.9
Aldon Smith,6159,ED,DAL,16,24,0,9,0,,,2.9,,,0,0,,64.5,0,,100.0,1,0,0.0,0,4,16.7,139,0,0,0,0,0,0,0.0,,0,0,3.5,100.0,6.4,9.5,9.5,0,0,0.0,51.3,0,16,80.0,4,0,118.8,2,19,79.2,298,5,1,2,0,28,21,1.5,14.0
J.J. Watt,6163,ED,HST,16,4,0,13,0,7.0,100.0,1.4,3.0,3.0,0,0,0.0,39.4,0,39,,0,0,158.3,1,3,75.0,215,1,0,1,1,39,32,13.0,39.0,0,0,,,0.3,,,0,0,,64.3,1,,40.0,2,0,0.0,0,1,25.0,346,7,3,0,0,0,0,0.0,
Robert Quinn,6166,ED,CHI,16,31,0,6,0,5.0,100.0,6.2,6.0,6.0,0,0,0.0,53.3,0,9,0.0,0,0,104.2,1,7,22.6,113,1,1,1,0,9,4,1.5,9.0,0,1,-0.4,100.0,8.6,4.2,4.2,0,0,0.0,36.4,0,15,25.0,1,0,102.5,5,23,74.2,267,2,2,5,0,43,45,2.0,8.6
Ryan Kerrigan,6168,ED,WAS,17,14,0,32,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,59,1,1,0,0,0,0,,,0,0,-0.4,80.0,6.7,3.3,2.6,0,1,20.0,59.1,0,14,33.3,1,0,90.0,4,13,92.9,193,5,2,5,0,28,30,2.2,7.0
Adrian Clayborn,6172,ED,CLV,17,6,0,8,0,,,2.2,,,0,0,,60.6,0,,,0,0,0.0,0,2,33.3,92,0,0,0,0,0,0,,,0,1,-6.0,100.0,1.4,4.0,4.0,0,0,0.0,68.5,0,-5,0.0,0,0,79.2,1,4,66.7,281,4,1,1,0,-5,1,-1.3,-5.0
Cameron Jordan,6176,ED,NO,18,12,0,20,1,,,3.0,,,0,0,,77.9,0,,0.0,0,0,0.0,0,7,58.3,232,5,1,0,0,0,0,0.0,,0,0,-1.0,100.0,1.3,4.0,4.0,0,0,0.0,60.3,0,6,33.3,1,0,91.7,1,4,33.3,306,5,2,1,0,6,7,1.5,6.0
Jimmy Smith,6179,CB,BLT,13,389,0,3,0,7.6,47.4,99.0,19.1,9.1,0,2,10.5,65.3,0,19,18.2,2,1,61.3,9,190,48.8,192,4,9,19,0,90,43,0.5,10.0,0,2,12.4,64.3,98.9,19.9,12.8,0,1,7.1,72.8,0,21,11.8,2,0,79.2,9,185,47.6,187,3,13,14,0,79,25,0.4,8.8
Jabaal Sheard,6189,ED,NYG,10,10,0,21,0,-7.0,100.0,1.7,1.0,1.0,0,0,0.0,61.0,0,-6,0.0,0,0,79.2,1,1,10.0,58,1,1,1,0,-6,1,-6.0,-6.0,0,0,5.0,100.0,8.7,4.0,4.0,0,0,0.0,55.4,0,6,40.0,2,0,89.6,2,9,90.0,104,2,3,2,0,11,1,1.4,5.5
Brooks Reed,6194,ED,TEN,3,1,0,31,0,,,7.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,13,1,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,14,1,0,0,0,0,0,,
Marcus Gilchrist,6202,S,BLT,2,37,0,3,0,11.0,50.0,95.2,19.0,9.5,0,0,0.0,49.5,0,16,0.0,0,0,77.1,1,20,54.1,21,0,1,2,0,16,0,0.8,16.0,0,0,8.0,100.0,100.0,15.0,15.0,0,0,0.0,63.0,0,10,0.0,0,0,108.3,1,16,43.2,16,0,1,1,0,10,2,0.7,10.0
Justin Houston,6222,ED,IND,17,20,0,14,0,-2.0,0.0,5.5,,4.0,0,0,0.0,60.7,0,,,0,0,39.6,0,4,20.0,73,1,0,1,0,0,0,0.0,,0,0,7.0,100.0,4.5,13.0,13.0,0,0,0.0,52.5,0,9,50.0,2,0,104.2,1,15,75.0,336,10,2,1,0,9,2,0.7,9.0
Allen Bailey,6238,DI,ATL,16,4,0,2,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,104,0,0,0,0,0,0,,,0,0,,,1.8,,,0,0,,57.5,0,,50.0,1,0,0.0,0,3,75.0,163,2,1,0,0,0,0,0.0,
K.J. Wright,6251,LB,SEA,17,559,0,29,0,9.7,66.7,46.7,12.0,8.0,0,1,16.7,50.7,0,28,50.0,2,0,94.4,4,50,8.9,107,3,2,6,0,53,36,1.1,13.3,0,12,3.5,76.4,89.8,8.6,6.5,2,4,5.6,81.4,1,40,10.0,6,4,94.7,55,482,86.2,537,22,42,72,2,440,304,0.9,8.0
Buster Skrine,6289,CB,CHI,12,374,0,6,0,10.8,82.1,98.3,4.7,3.8,0,0,0.0,28.7,0,40,5.3,1,0,150.0,23,114,30.5,116,2,18,28,3,320,100,3.0,13.9,0,1,8.3,75.8,97.1,8.7,6.6,0,2,6.1,65.0,0,22,13.8,4,2,93.0,25,237,63.4,244,10,24,33,0,220,106,1.0,8.8
Richard Sherman,6306,CB,SF,5,210,0,28,0,9.3,66.7,100.0,14.0,9.3,0,0,0.0,55.0,1,18,25.0,1,0,87.5,4,62,29.5,62,0,3,6,1,43,13,0.8,10.8,0,1,16.4,50.0,98.6,34.0,17.0,0,0,0.0,71.4,0,12,25.0,3,0,66.7,4,138,65.7,140,3,8,8,0,44,16,0.3,11.0
Pernell McPhee,6317,ED,BLT,17,36,0,3,0,1.0,100.0,9.9,17.0,17.0,0,0,0.0,40.6,0,8,100.0,1,0,100.0,1,17,47.2,172,3,0,1,0,8,7,0.5,8.0,0,0,-1.3,100.0,9.4,5.0,5.0,1,1,33.3,50.7,0,7,28.6,2,0,88.9,3,16,44.4,171,4,5,3,0,16,20,1.1,5.3
Lawrence Guy Sr.,6385,DI,NE,14,1,0,19,0,,,1.2,,,0,0,,59.5,0,,0.0,0,0,0.0,0,1,100.0,82,0,1,0,0,0,0,0.0,,0,1,,,0.0,,,1,0,,60.2,0,,40.0,2,0,0.0,0,0,0.0,137,3,2,0,0,0,0,,
Malcolm Smith,6394,LB,CLV,17,403,0,8,3,0.0,80.0,75.5,17.3,13.8,0,0,0.0,69.6,0,16,0.0,0,0,96.7,4,74,18.4,98,1,4,5,0,36,36,0.5,9.0,0,4,5.4,79.5,96.1,8.1,6.5,0,1,2.3,65.2,1,26,11.8,4,1,94.6,35,299,74.2,311,9,26,44,1,315,194,1.1,9.0
Chris Harris Jr.,6457,CB,LAC,9,334,0,27,0,14.7,66.7,98.6,8.1,5.4,0,2,16.7,38.4,0,54,16.7,1,2,149.3,8,70,21.0,71,1,5,12,3,174,55,2.7,21.8,0,2,5.1,69.6,96.0,14.4,10.0,0,1,4.3,65.5,1,35,12.5,2,0,73.6,16,243,72.8,253,3,12,23,0,175,127,0.8,10.9
Josh Bynes,6503,LB,CIN,16,342,0,7,0,0.0,75.0,81.7,15.8,11.9,0,0,0.0,51.5,0,29,20.0,1,0,156.3,6,103,30.1,126,0,4,8,2,103,100,1.1,17.2,0,6,3.5,85.7,98.2,8.7,7.4,0,2,7.1,54.6,0,26,7.4,2,2,101.2,24,216,63.2,220,8,19,28,0,232,147,1.1,9.7
Mario Addison,6558,ED,BUF,18,40,0,4,0,,,4.6,,,0,0,,68.4,0,,50.0,2,0,0.0,0,7,17.5,153,3,2,0,0,0,0,0.0,,0,2,4.8,100.0,10.2,5.0,5.0,0,0,0.0,55.8,0,14,14.3,1,0,97.9,6,30,75.0,295,6,4,6,0,45,16,1.5,7.5
Craig Robertson,7003,LB,NO,3,8,0,20,0,,,20.0,,,0,0,,49.9,0,,100.0,1,0,0.0,0,1,12.5,5,0,0,0,0,0,0,0.0,,0,0,3.5,50.0,100.0,7.0,3.5,0,0,0.0,47.2,0,8,100.0,1,0,60.4,1,7,87.5,7,0,0,2,0,8,7,1.1,8.0
Stephon Gilmore,7016,CB,NE,11,367,0,19,1,10.5,60.7,98.9,9.9,6.0,0,2,7.1,50.7,1,54,12.5,2,2,87.4,17,178,48.5,180,2,13,28,1,253,80,1.5,14.9,0,1,11.5,72.7,100.0,20.5,14.9,0,0,0.0,68.2,0,20,21.4,3,0,96.8,8,165,45.0,165,2,10,11,0,90,20,0.5,11.3
Dontari Poe,7017,DI,DAL,7,1,0,9,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,33,0,0,0,0,0,0,,,0,0,,,1.1,,,0,0,,59.5,0,,,0,0,0.0,0,1,100.0,92,0,0,0,0,0,0,0.0,
Fletcher Cox,7018,DI,PHI,15,4,0,24,2,,,0.0,,,0,0,,57.7,0,,0.0,0,0,0.0,0,0,0.0,184,1,1,0,0,0,0,,,0,0,,,1.7,,,0,0,,53.7,0,,66.7,2,0,0.0,0,4,100.0,241,6,1,0,0,0,0,0.0,
Bruce Irvin,7021,ED,SEA,2,22,0,29,0,,,11.1,,,0,0,,60.8,0,,,0,0,0.0,0,2,9.1,18,0,0,0,0,0,0,0.0,,0,0,-2.0,100.0,28.8,17.0,17.0,0,0,0.0,67.2,0,1,100.0,1,0,79.2,1,17,77.3,59,0,0,1,0,1,3,0.1,1.0
Dre Kirkpatrick,7023,CB,ARZ,14,506,0,1,1,8.9,66.0,100.0,6.0,4.0,0,3,6.0,44.6,1,31,16.0,4,2,90.4,33,219,43.3,219,2,20,50,2,340,153,1.7,10.3,0,2,10.5,64.9,98.9,10.6,6.9,0,1,2.7,53.0,2,39,10.7,3,1,66.2,24,270,53.4,273,5,23,37,0,289,138,1.1,12.0
Melvin Ingram III,7024,ED,LAC,7,9,0,27,0,,,4.7,,,0,0,,61.3,0,,,0,0,0.0,0,2,22.2,43,0,0,0,0,0,0,0.0,,0,0,,,3.7,,,0,0,,77.8,1,,33.3,1,0,0.0,0,7,77.8,187,2,2,0,0,0,0,0.0,
Chandler Jones,7027,ED,ARZ,5,4,0,1,0,,,1.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,89,0,0,0,0,0,0,0.0,,0,0,1.0,100.0,4.2,3.0,3.0,0,0,0.0,76.7,0,5,0.0,0,0,87.5,1,3,75.0,72,0,1,1,0,5,4,1.7,5.0
Whitney Mercilus,7031,ED,HST,13,38,0,13,0,14.0,0.0,5.0,,7.0,0,0,0.0,36.4,0,,0.0,0,0,39.6,0,7,18.4,140,2,1,1,0,0,0,0.0,,0,0,3.4,80.0,13.9,7.3,5.8,0,0,0.0,47.3,0,20,50.0,2,0,111.7,4,29,76.3,208,5,2,5,0,54,31,1.9,13.5
Derek Wolfe,7040,DI,BLT,16,8,0,3,1,,,2.5,,,0,0,,59.3,0,,20.0,1,0,0.0,0,5,62.5,199,0,3,0,0,0,0,0.0,,0,0,,,0.9,,,0,0,,75.6,0,,0.0,0,0,0.0,0,2,25.0,220,4,3,0,0,0,0,0.0,
Janoris Jenkins,7043,CB,NO,15,599,0,20,4,13.0,65.1,100.0,7.9,5.1,1,5,11.6,54.5,1,50,8.0,2,2,100.4,28,240,40.1,240,5,19,43,2,395,79,1.8,14.1,0,4,13.0,54.3,100.0,12.6,6.9,3,6,13.0,71.9,2,28,12.9,4,4,56.2,25,331,55.3,331,4,23,46,0,297,121,0.9,11.9
Mychal Kendricks,7049,LB,WAS,2,9,0,32,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,80.0,,,0,0,,64.4,0,,,0,0,0.0,0,8,88.9,10,0,0,0,0,0,0,0.0,
Bobby Wagner,7050,LB,SEA,17,701,0,29,0,2.3,75.0,61.9,15.3,11.5,0,0,0.0,69.0,0,11,0.0,0,0,84.9,6,99,14.1,160,4,6,8,0,39,34,0.4,6.5,0,6,6.0,73.7,92.3,9.8,7.2,0,9,11.8,66.4,0,41,10.5,6,7,93.8,56,562,80.2,609,16,45,76,0,552,312,1.0,9.9
Tavon Wilson,7051,S,IND,9,150,0,14,0,,,100.0,,,0,0,,66.9,0,,0.0,0,0,0.0,0,20,13.3,20,0,1,0,0,0,0,0.0,,0,2,14.8,88.9,97.6,14.5,12.9,0,1,11.1,61.6,0,64,0.0,0,1,158.3,8,120,80.0,123,3,10,9,2,137,30,1.2,17.1
Lavonte David,7060,LB,TB,20,820,0,30,1,2.3,75.0,75.3,11.0,8.3,0,4,20.0,71.8,0,12,27.8,5,3,97.1,15,177,21.6,235,6,12,20,1,76,81,0.5,5.1,0,6,3.3,75.5,92.7,7.7,5.8,2,7,7.4,82.5,0,29,7.0,5,6,88.7,71,574,70.0,619,33,60,94,0,533,333,1.0,7.5
Vinny Curry,7061,ED,PHI,11,9,0,24,0,,,3.2,,,0,0,,60.7,0,,,0,0,0.0,0,2,22.2,62,1,0,0,0,0,0,0.0,,0,0,,,4.9,,,0,0,,64.1,0,,50.0,2,0,0.0,0,6,66.7,122,3,2,0,0,0,0,0.0,
Casey Hayward Jr.,7064,CB,LAC,14,480,0,27,0,16.9,33.3,97.6,15.4,5.1,0,5,33.3,49.8,0,27,40.0,2,1,52.4,5,83,17.3,85,0,3,15,0,81,28,1.1,16.2,0,3,14.8,50.9,100.0,12.5,6.4,1,8,14.5,65.4,1,53,5.9,2,6,92.4,28,366,76.3,366,9,29,55,3,492,101,1.4,17.6
Olivier Vernon,7074,ED,CLV,14,44,0,8,0,,,7.5,,,0,0,,65.3,0,,,0,0,0.0,0,8,18.2,107,2,0,0,0,0,0,0.0,,0,0,2.8,80.0,9.0,8.3,6.6,0,2,40.0,59.6,0,16,83.3,5,1,103.3,4,34,77.3,376,8,1,5,0,44,34,1.3,11.0
Demario Davis,7079,LB,NO,18,579,0,20,1,1.8,76.5,65.6,12.6,9.6,0,0,0.0,73.6,0,20,7.1,1,0,119.6,13,183,31.6,279,11,12,17,3,58,45,0.4,4.5,0,6,5.7,77.5,88.1,10.7,8.3,0,2,5.0,64.5,0,22,9.3,4,2,104.8,31,354,61.1,402,9,33,40,1,286,169,0.9,9.2
Tyrone Crawford,7083,DI,DAL,16,5,0,9,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,87,0,0,0,0,0,0,,,0,1,,,2.2,,,0,0,,56.5,0,,0.0,0,0,0.0,0,4,80.0,185,3,1,0,0,0,0,0.0,
Akiem Hicks,7090,DI,CHI,16,3,0,6,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,123,3,0,0,0,0,0,,,0,1,,,0.5,,,0,0,,66.8,0,,50.0,2,0,0.0,0,2,66.7,375,1,1,0,0,0,0,0.0,
Kyle Wilber,7113,LB,LV,5,13,0,23,0,,,100.0,,,0,0,,62.7,0,,,0,0,0.0,0,3,23.1,3,0,0,0,0,0,0,0.0,,0,0,5.0,50.0,87.5,7.0,3.5,0,0,0.0,37.5,0,1,,0,0,56.3,1,7,53.8,8,0,0,2,0,1,6,0.1,1.0
Tahir Whitehead,7135,LB,CAR,13,170,0,5,0,,,75.9,,,0,0,,70.3,0,,,0,0,0.0,0,22,12.9,29,0,0,0,0,0,0,0.0,,0,3,5.6,76.0,91.8,6.8,5.2,0,0,0.0,30.4,1,50,21.1,4,0,83.3,19,135,79.4,147,2,12,25,0,207,127,1.6,10.9
George Iloka,7159,S,MIN,3,31,0,18,0,,,100.0,,,0,0,,62.4,0,,,0,0,0.0,0,9,29.0,9,0,0,0,0,0,0,0.0,,0,0,19.0,100.0,100.0,8.5,8.5,0,0,0.0,30.6,0,24,0.0,0,0,158.3,2,17,54.8,17,0,3,2,1,37,8,2.2,18.5
Danny Trevathan,7177,LB,CHI,17,483,0,6,2,5.7,71.4,75.5,15.8,11.3,1,1,14.3,73.6,0,24,0.0,0,1,103.3,5,83,17.2,110,3,9,7,0,70,31,0.9,14.0,0,10,6.3,84.3,97.1,8.0,6.8,0,3,5.9,34.7,0,72,7.8,4,3,118.7,43,367,76.0,378,6,37,51,1,557,296,1.6,13.0
Billy Winn,7190,DI,GB,5,2,0,12,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,10.5,,,0,0,,58.1,0,,0.0,0,0,0.0,0,2,100.0,19,0,1,0,0,0,0,0.0,
Nate Ebner,7193,S,NYG,5,28,0,21,0,,,92.3,,,0,0,,57.4,0,,0.0,0,0,0.0,0,12,42.9,13,1,1,0,0,0,0,0.0,,0,0,6.7,100.0,100.0,4.0,4.0,0,1,33.3,37.0,0,20,100.0,1,1,118.8,3,13,46.4,13,0,0,3,0,41,21,3.4,13.7
Rodney McLeod,7271,S,PHI,13,481,0,24,3,3.0,66.7,94.0,93.5,62.3,0,2,66.7,79.7,0,9,14.3,2,2,70.1,2,203,42.2,216,4,9,3,0,8,3,0.0,4.0,0,3,6.5,52.6,96.6,24.3,12.8,1,3,15.8,65.5,1,36,0.0,0,3,44.0,10,257,53.4,266,2,13,19,0,91,76,0.4,9.1
Michael Thomas,7279,S,HST,6,75,0,13,0,,,70.6,,,0,0,,55.6,0,,,0,0,0.0,0,24,32.0,34,0,0,0,0,0,0,0.0,,0,3,2.0,90.0,87.3,5.2,4.7,0,0,0.0,45.8,0,19,0.0,0,0,103.3,9,48,64.0,55,3,5,10,0,88,72,1.9,9.8
Tashaun Gipson Sr.,7288,S,CHI,17,669,0,6,0,5.3,77.8,97.6,21.4,16.7,0,2,22.2,59.1,0,13,27.3,3,2,131.9,7,160,23.9,164,2,8,9,1,61,32,0.4,8.7,0,4,13.6,63.6,99.2,31.5,20.0,2,4,18.2,69.1,2,39,0.0,0,3,63.6,14,468,70.0,472,5,22,22,1,165,41,0.4,11.8
