player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Davante Adams,8688,WR,LV,1,22,0,23,9.2,0,16.7,25.0,1,4,50.0,1,0.38,1,0,28.8,60.3,0,1,0.0,0,12,36.4,1,91.7,11,79.2,6,54.5,1,1,0,0.0,1.0,0.09,0,13.8,0,66.7,100.0,1,1,0.0,0,0.1,5,0,76.5,86.8,0,24,0.0,0,32,50.0,8,100.0,32,86.5,12,37.5,0,83,6,0.8,10.4,2.59
CeeDee Lamb,61570,WR,DAL,1,17,0,9,9.9,4,77.8,50.0,1,2,0.0,0,0.85,5,0,75.6,93.1,0,92,0.0,0,20,52.6,7,95.0,19,155.8,9,47.4,1,184,106,15.1,26.3,9.68,0,5.9,0,71.4,,0,0,16.7,1,-0.26,2,0,46.3,62.0,1,12,0.0,0,19,44.4,5,94.7,18,45.2,7,38.9,0,39,16,3.2,7.8,2.17
DJ Moore,48267,WR,CHI,1,13,0,6,12.1,1,70.0,50.0,1,2,0.0,0,0.02,5,0,75.6,91.7,0,32,0.0,0,23,31.8,7,95.7,22,142.9,10,45.5,1,118,50,7.1,16.9,5.36,0,17.0,0,66.7,,0,0,0.0,0,0.71,2,0,68.3,77.1,0,32,0.0,0,14,61.5,2,92.9,13,109.7,3,23.1,0,41,2,1.0,20.5,3.15
Tyreek Hill,10799,WR,MIA,1,12,0,17,14.7,0,33.3,,0,0,0.0,0,0.83,1,0,64.7,65.1,0,25,0.0,0,6,60.0,1,83.3,5,64.6,3,60.0,0,25,0,0.0,25.0,5.0,0,6.8,1,50.0,0.0,0,1,0.0,0,0.45,2,0,70.5,75.3,0,16,0.0,0,16,53.3,2,93.8,15,72.9,4,26.7,0,28,3,1.5,14.0,1.87
Sam LaPorta,101690,TE,DET,1,11,0,11,6.0,0,100.0,,0,0,0.0,0,0.37,3,0,70.5,84.3,0,15,0.0,0,14,53.8,3,92.9,13,113.9,3,23.1,0,34,16,5.3,11.3,2.62,0,9.7,0,57.1,0.0,0,1,20.0,1,0.02,2,0,41.6,72.3,1,25,5.9,1,17,52.9,4,94.1,16,39.9,7,43.8,0,50,13,3.3,12.5,3.13
Juwan Johnson,28305,TE,NO,1,11,0,20,14.5,0,50.0,,0,0,0.0,0,0.35,1,0,64.7,71.4,0,8,28.6,2,7,42.9,1,71.4,5,60.4,2,40.0,0,8,0,0.0,8.0,1.6,0,6.8,1,75.0,,0,0,14.3,1,0.28,5,0,49.2,88.9,0,32,0.0,0,16,62.5,6,100.0,16,105.2,8,50.0,0,78,45,7.5,13.0,4.88
Garrett Wilson,97405,WR,NYJ,1,10,0,22,11.0,0,33.3,0.0,0,1,0.0,0,0.14,1,0,64.7,70.5,0,22,0.0,0,14,35.7,1,100.0,14,60.4,3,21.4,0,22,4,4.0,22.0,1.57,0,9.0,0,57.1,0.0,0,1,0.0,0,-0.46,1,0,72.1,62.7,1,10,0.0,0,29,37.0,4,93.1,27,26.8,7,25.9,0,28,3,0.8,7.0,1.04
Jakobi Meyers,47468,WR,LV,1,10,0,23,-3.0,0,100.0,,0,0,0.0,0,0.08,0,0,64.7,53.9,0,2,0.0,0,11,30.0,1,90.9,10,79.2,1,10.0,0,2,5,5.0,2.0,0.2,0,7.6,1,55.6,0.0,0,3,0.0,0,0.06,4,0,73.4,67.8,0,14,0.0,0,33,48.5,5,100.0,33,73.4,9,27.3,0,54,15,3.0,10.8,1.64
Demarcus Robinson,10760,WR,LA,1,10,0,26,8.3,1,33.3,,0,0,0.0,0,-0.09,0,1,64.7,46.3,0,16,0.0,0,16,40.0,1,93.8,15,52.1,3,20.0,0,16,11,11.0,16.0,1.07,0,12.8,0,66.7,,0,0,0.0,0,-0.18,3,1,72.1,62.5,1,37,0.0,0,18,50.0,4,100.0,18,66.0,6,33.3,0,69,19,4.8,17.3,3.83
Drake London,86519,WR,ATL,1,10,0,2,,0,,,0,0,,0,-1.09,0,0,,58.2,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,11.7,0,44.4,33.3,1,3,0.0,0,0.13,2,0,72.1,63.3,1,22,0.0,0,31,54.8,4,100.0,31,25.5,9,29.0,0,56,8,2.0,14.0,1.81
Gerald Everett,11799,TE,LAC,1,9,0,27,13.0,0,0.0,,0,0,,0,0.26,0,0,,52.4,0,0,10.0,1,10,50.0,0,90.0,9,39.6,2,22.2,0,0,0,,,0.0,0,2.3,1,50.0,33.3,1,3,33.3,1,-0.04,1,0,30.0,62.5,0,22,0.0,0,9,50.0,2,88.9,8,70.8,4,50.0,0,26,27,13.5,13.0,3.25
Breece Hall,97636,HB,NYJ,1,9,0,22,1.0,0,100.0,,0,0,0.0,0,0.18,1,0,64.7,92.1,0,21,0.0,0,11,36.4,1,100.0,11,158.3,1,9.1,1,21,20,20.0,21.0,1.91,0,-1.2,1,100.0,,0,0,0.0,0,-0.72,0,0,74.6,72.5,0,11,29.4,5,17,33.3,5,64.7,11,83.3,5,45.5,0,20,26,5.2,4.0,1.82
George Pickens,99229,WR,PIT,1,9,0,25,21.0,1,66.7,0.0,0,1,0.0,0,-0.06,2,0,68.3,94.3,0,34,0.0,0,6,50.0,2,100.0,6,109.7,3,50.0,0,58,19,9.5,29.0,9.67,0,8.5,0,83.3,66.7,2,3,0.0,0,0.48,3,1,73.4,67.5,0,37,0.0,0,20,42.1,5,95.0,19,117.4,6,31.6,0,73,24,4.8,14.6,3.84
Alex Erickson,11107,WR,LAC,1,9,0,27,11.0,0,75.0,,0,0,0.0,0,0.01,1,0,70.5,63.7,0,27,0.0,0,13,38.5,3,100.0,13,108.3,4,30.8,0,42,16,5.3,14.0,3.23,0,11.0,0,66.7,,0,0,0.0,0,-0.03,2,0,68.3,68.8,0,16,0.0,0,15,38.5,2,86.7,13,100.7,3,23.1,0,31,12,6.0,15.5,2.38
Justin Jefferson,61398,WR,MIN,1,9,0,18,12.0,0,100.0,,0,0,0.0,0,-1.18,1,0,64.7,73.0,0,12,0.0,0,4,25.0,1,100.0,4,116.7,1,25.0,0,12,0,0.0,12.0,3.0,0,16.3,1,75.0,0.0,0,1,0.0,0,-0.3,2,0,70.5,71.4,0,21,0.0,0,22,52.4,3,95.5,21,106.3,4,19.0,0,40,2,0.7,13.3,1.9
David Njoku,11784,TE,CLV,1,8,0,8,3.0,1,100.0,,0,0,0.0,0,0.65,1,0,68.3,81.2,0,43,30.0,3,10,37.5,2,50.0,5,118.8,2,40.0,0,49,43,21.5,24.5,9.8,0,6.0,2,60.0,0.0,0,1,0.0,0,-0.71,1,1,70.5,63.2,1,36,0.0,0,14,28.6,3,100.0,14,60.0,5,35.7,0,57,46,15.3,19.0,4.07
Puka Nacua,100632,WR,LA,1,8,0,26,3.6,2,60.0,0.0,0,1,40.0,2,-0.01,3,0,28.1,72.2,0,80,0.0,0,17,43.8,3,94.1,16,104.2,5,31.3,0,108,103,34.3,36.0,6.75,0,3.0,0,100.0,,0,0,0.0,0,-0.18,1,0,68.3,53.2,0,6,0.0,0,18,50.0,2,100.0,18,87.5,2,11.1,0,10,4,2.0,5.0,0.56
Nico Collins,61441,WR,HST,1,8,0,13,12.0,0,100.0,,0,0,0.0,0,-0.08,1,0,64.7,73.2,0,13,0.0,0,3,33.3,1,100.0,3,118.8,1,33.3,0,13,1,1.0,13.0,4.33,0,4.8,2,100.0,,0,0,0.0,0,0.21,4,1,74.6,90.5,0,21,0.0,0,17,58.8,6,100.0,17,113.2,6,35.3,0,67,38,6.3,11.2,3.94
